h,model_fun,mae
1,arima101_101_fun,0.14114269778821753
1,tbats_fun,0.18076569985951538
1,arima_fun,0.18467236828401887
1,ets_fun,0.23421875462317357
2,arima101_101_fun,0.18938373036075973
2,tbats_fun,0.20385206597619213
2,arima_fun,0.25186674742605936
2,ets_fun,0.3398723635226491
3,tbats_fun,0.17539671844349713
3,arima101_101_fun,0.21879451842811792
3,arima_fun,0.2961055676090146
3,ets_fun,0.39785967337537825
4,tbats_fun,0.1696739939156919
4,arima101_101_fun,0.22129493835478123
4,arima_fun,0.3072516994496211
4,ets_fun,0.4071745863516134
5,tbats_fun,0.19809896039568586
5,arima101_101_fun,0.23392075615688449
5,arima_fun,0.2994783707205088
5,ets_fun,0.37249695283169987
6,tbats_fun,0.20030168845638596
6,arima101_101_fun,0.2245200695196409
6,arima_fun,0.28281338864224076
6,ets_fun,0.3520287686301217
