h,model_fun,mae
1,ets_fun,2.6333784907253084
1,arima_fun,2.8428380620715643
1,tbats_fun,2.8641118087779396
1,arima101_010_fun,5.306685769612656
2,arima_fun,3.0569062055459546
2,ets_fun,3.3167651357845975
2,tbats_fun,3.329932858173507
2,arima101_010_fun,4.70552482558638
3,arima_fun,3.7439364072281243
3,ets_fun,4.366671786426828
3,arima101_010_fun,5.009111804641539
3,tbats_fun,5.037462920094417
4,arima_fun,3.2600637593489807
4,ets_fun,4.416411428496876
4,arima101_010_fun,4.76595046521481
4,tbats_fun,5.022511008145332
