h,model_fun,mae
1,arima_fun,1.0261777717231144
1,arima101_010_fun,1.0974114079104815
1,tbats_fun,1.2347337719977753
1,ets_fun,1.280409650261407
2,ets_fun,1.3357275004028626
2,arima_fun,1.4817322995636228
2,arima101_010_fun,1.616985586195903
2,tbats_fun,1.8449941231970328
3,ets_fun,1.3534066229546653
3,arima_fun,1.3767564721526275
3,arima101_010_fun,1.5700047771485321
3,tbats_fun,1.7188327473131455
4,ets_fun,1.3351258614649506
4,arima_fun,1.406071110011089
4,arima101_010_fun,1.5741553310004948
4,tbats_fun,2.025288981078715
5,ets_fun,1.3727987470586553
5,arima_fun,1.373660886993842
5,arima101_010_fun,1.5753476869027327
5,tbats_fun,2.120627537485918
6,arima_fun,1.2946318789015674
6,ets_fun,1.3697401796862358
6,arima101_010_fun,1.574862198947729
6,tbats_fun,2.1274404264806392
