date,value
1996-01-01,185.134680475662
1996-04-01,149.586779402391
1996-07-01,137.948674472762
1996-10-01,130.127171358859
1997-01-01,121.008976991342
1997-04-01,119.489821163561
1997-07-01,112.343469649307
1997-10-01,109.430487388259
1998-01-01,109.132265756775
1998-04-01,109.614711663567
1998-07-01,116.820656606346
1998-10-01,137.508180190264
1999-01-01,166.641691561875
1999-04-01,177.252070982132
1999-07-01,182.37521378256
1999-10-01,161.244999264364
2000-01-01,152.08864641361
2000-04-01,139.732904017761
2000-07-01,134.255212026495
2000-10-01,130.429556128326
2001-01-01,118.879182591224
2001-04-01,118.103859558859
2001-07-01,115.141328817607
2001-10-01,114.664048469864
2002-01-01,114.652960869369
2002-04-01,115.057287185719
2002-07-01,115.963257102006
2002-10-01,116.379669709202
2003-01-01,117.12614798836
2003-04-01,113.830836501963
2003-07-01,113.430783887738
2003-10-01,112.094918706246
2004-01-01,114.982496238465
2004-04-01,118.529047547229
2004-07-01,118.895759566408
2004-10-01,127.387918294811
2005-01-01,120.123356840953
2005-04-01,120.601300276927
2005-07-01,120.078142605786
2005-10-01,116.833298055606
2006-01-01,121.090575052894
2006-04-01,116.031012874551
2006-07-01,115.051057378199
2006-10-01,110.31082818875
2007-01-01,108.302796645437
2007-04-01,112.297969690173
2007-07-01,113.11566901577
2007-10-01,119.952320827229
2008-01-01,119.930012840749
2008-04-01,122.156879341607
2008-07-01,121.834045240104
2008-10-01,109.840656543991
2009-01-01,103.397691678631
2009-04-01,101.629717568342
2009-07-01,98.7111353198024
2009-10-01,104.566503519562
2010-01-01,115.240919725675
2010-04-01,113.08265480852
2010-07-01,111.811288961842
2010-10-01,116.570444580854
2011-01-01,115.801484785899
2011-04-01,117.972072578487
2011-07-01,116.040495514725
2011-10-01,114.129506493514
2012-01-01,110.518813123118
2012-04-01,108.915846118138
2012-07-01,108.647018144922
2012-10-01,108.587796028441
2013-01-01,106.514778418846
2013-04-01,104.713177999441
2013-07-01,105.749650506088
2013-10-01,104.796431594299
2014-01-01,105.703854845004
2014-04-01,107.658629779239
2014-07-01,107.972367082803
2014-10-01,108.380072192734
2015-01-01,108.414949317802
2015-04-01,107.376152572442
2015-07-01,108.86024351433
2015-10-01,107.516866049274
2016-01-01,103.388856403039
2016-04-01,104.215234357139
2016-07-01,102.512521842587
2016-10-01,103.86817686789
2017-01-01,106.890878221378
2017-04-01,104.215753931964
2017-07-01,104.092814567347
2017-10-01,105.794072043323
2018-01-01,106.789124862422
2018-04-01,110.609813660267
