h,model_fun,mae
1,arima111_fun,1.3717744673773373
1,arima_fun,1.391201450648205
1,tbats_fun,1.4973574367729887
1,ets_fun,1.6834438222966241
2,arima111_fun,1.1130736658943212
2,arima_fun,1.487540014015419
2,ets_fun,1.7486231205799414
2,tbats_fun,1.8019210105108736
3,arima111_fun,1.1193723652416623
3,arima_fun,1.5706588502704448
3,tbats_fun,1.6061462352312286
3,ets_fun,1.72928252194763
4,arima111_fun,1.1183566668101728
4,arima_fun,1.5108233765536692
4,ets_fun,1.6644615822146336
4,tbats_fun,1.7067795797239123
5,arima111_fun,1.1207715394181585
5,arima_fun,1.4978305633297926
5,ets_fun,1.6700552552201808
5,tbats_fun,1.8005012692476308
6,arima111_fun,1.1207143739559646
6,arima_fun,1.492679979184725
6,ets_fun,1.7297712264415945
6,tbats_fun,1.8547218499510032
