h,model_fun,mae
1,arima101_010_fun,1.1844991255448472
1,arima_fun,1.3175400142812255
1,tbats_fun,1.714566793190582
1,ets_fun,1.8108834776104468
2,arima101_010_fun,1.3893138600782606
2,arima_fun,1.7283704742858352
2,ets_fun,1.811532105623081
2,tbats_fun,2.129022801412073
3,arima101_010_fun,1.3873606331222608
3,arima_fun,1.6788038111034997
3,ets_fun,1.7155272133422954
3,tbats_fun,1.8870990054986663
4,arima101_010_fun,1.3867647888539314
4,arima_fun,1.6962715948967202
4,ets_fun,1.7655911661119887
4,tbats_fun,1.8964754916888618
5,arima101_010_fun,1.386309124177845
5,arima_fun,1.6593195464492112
5,ets_fun,1.807809935600154
5,tbats_fun,1.9941179989559088
6,arima101_010_fun,1.386599053365191
6,ets_fun,1.574892870724138
6,arima_fun,1.6228051144540132
6,tbats_fun,1.8318589710865913
