h,model_fun,mae
1,arima101_101_fun,0.13124528707992056
1,tbats_fun,0.15683716583083493
1,arima_fun,0.1643584908243546
1,ets_fun,0.21167722076179196
2,arima101_101_fun,0.19992304647607995
2,tbats_fun,0.216720007300352
2,arima_fun,0.2635617071272062
2,ets_fun,0.33545551947754704
3,tbats_fun,0.21910720234708395
3,arima101_101_fun,0.22190701822032033
3,arima_fun,0.2805477052493528
3,ets_fun,0.34863757798929307
4,tbats_fun,0.23615920284000047
4,arima101_101_fun,0.24099495810366042
4,arima_fun,0.2737881778813605
4,ets_fun,0.36022192680812837
5,tbats_fun,0.23642816398326025
5,arima101_101_fun,0.24849771670858445
5,arima_fun,0.26177070956167686
5,ets_fun,0.34009080409213355
6,tbats_fun,0.22321523619077827
6,arima101_101_fun,0.24507054971348433
6,arima_fun,0.2514498105833225
6,ets_fun,0.33487716895733793
