exch_rate,date,access_date
28.6341,2005-07-01,2019-03-08
28.545,2005-08-01,2019-03-08
28.4989,2005-09-01,2019-03-08
28.4244,2005-10-01,2019-03-08
28.7312,2005-11-01,2019-03-08
28.7825,2005-12-01,2019-03-08
28.1207,2006-01-01,2019-03-08
28.1223,2006-02-01,2019-03-08
27.7626,2006-03-01,2019-03-08
27.2739,2006-04-01,2019-03-08
26.984,2006-05-01,2019-03-08
27.0789,2006-06-01,2019-03-08
26.8718,2006-07-01,2019-03-08
26.7379,2006-08-01,2019-03-08
26.7799,2006-09-01,2019-03-08
26.7477,2006-10-01,2019-03-08
26.3147,2006-11-01,2019-03-08
26.3311,2006-12-01,2019-03-08
26.5331,2007-01-01,2019-03-08
26.1599,2007-02-01,2019-03-08
26.0113,2007-03-01,2019-03-08
25.6851,2007-04-01,2019-03-08
25.9031,2007-05-01,2019-03-08
25.8162,2007-06-01,2019-03-08
25.5999,2007-07-01,2019-03-08
25.6494,2007-08-01,2019-03-08
24.9493,2007-09-01,2019-03-08
24.7238,2007-10-01,2019-03-08
24.3506,2007-11-01,2019-03-08
24.5462,2007-12-01,2019-03-08
24.4764,2008-01-01,2019-03-08
24.1159,2008-02-01,2019-03-08
23.5156,2008-03-01,2019-03-08
23.6471,2008-04-01,2019-03-08
23.7384,2008-05-01,2019-03-08
23.4573,2008-06-01,2019-03-08
23.4456,2008-07-01,2019-03-08
24.5769,2008-08-01,2019-03-08
25.2464,2008-09-01,2019-03-08
26.543,2008-10-01,2019-03-08
27.606,2008-11-01,2019-03-08
29.3804,2008-12-01,2019-03-08
35.4146,2009-01-01,2019-03-08
35.7205,2009-02-01,2019-03-08
34.0134,2009-03-01,2019-03-08
33.2491,2009-04-01,2019-03-08
30.9843,2009-05-01,2019-03-08
31.2904,2009-06-01,2019-03-08
31.7555,2009-07-01,2019-03-08
31.5687,2009-08-01,2019-03-08
30.0922,2009-09-01,2019-03-08
29.0488,2009-10-01,2019-03-08
29.8179,2009-11-01,2019-03-08
