h,model_fun,mae
1,ets_fun,0.006712172547652433
1,tbats_fun,0.006820519046885214
1,arima_fun,0.008243573791656206
1,arima101_101_fun,0.009973019240323481
2,ets_fun,0.009006046255397427
2,arima_fun,0.009910248318439204
2,tbats_fun,0.010175768601706606
2,arima101_101_fun,0.012133126875768197
3,arima_fun,0.010635172735740587
3,arima101_101_fun,0.011549085718797255
3,ets_fun,0.012534288472345292
3,tbats_fun,0.014365228367082847
4,arima101_101_fun,0.006511366138414121
4,arima_fun,0.008659556628663917
4,tbats_fun,0.010694890159099604
4,ets_fun,0.010905083174973136
