h,model_fun,mae
1,arima101_010_fun,1.851114735961371
1,arima_fun,2.0056440862482585
1,tbats_fun,2.1993601821921627
1,ets_fun,2.350236588816333
2,arima101_010_fun,2.189526014031599
2,arima_fun,2.2503682507291276
2,ets_fun,2.2733116751896185
2,tbats_fun,2.7457597140244117
3,ets_fun,2.179958263026416
3,arima101_010_fun,2.2084412200172845
3,tbats_fun,2.3915411856096287
3,arima_fun,2.4135783724956017
4,ets_fun,2.1713395664927266
4,arima101_010_fun,2.282626297275488
4,tbats_fun,2.414757227919384
4,arima_fun,2.45804720910796
5,arima101_010_fun,2.1570491314153597
5,ets_fun,2.15758994101054
5,arima_fun,2.356293300499545
5,tbats_fun,2.366945883347568
6,arima101_010_fun,2.004662244990677
6,ets_fun,2.13901889614318
6,arima_fun,2.3275182094310436
6,tbats_fun,2.431394888936422
