h,model_fun,mae
1,arima101_010_fun,2.7648015644000554
1,arima_fun,2.840583891426321
1,tbats_fun,2.8618670605846734
1,ets_fun,3.141714323713855
2,arima101_010_fun,2.538045761392808
2,arima_fun,2.8729867404954508
2,ets_fun,2.995182974877194
2,tbats_fun,3.096531696724595
3,arima101_010_fun,2.499330258545994
3,tbats_fun,2.8280637997776306
3,arima_fun,2.858009897985616
3,ets_fun,2.9880687349353847
4,arima101_010_fun,2.6066013239719807
4,arima_fun,2.9750203509696926
4,ets_fun,2.990932052976021
4,tbats_fun,3.483265548502548
5,arima101_010_fun,2.5552643686070153
5,ets_fun,2.99633713509848
5,arima_fun,3.040889743582945
5,tbats_fun,3.610320480190627
6,arima101_010_fun,2.51554945690053
6,ets_fun,3.013827776842185
6,arima_fun,3.0639029769282455
6,tbats_fun,3.1664307460640457
