Date,"Gross Domestic Product, Nominal, National Currency","Gross Domestic Product, Deflator, Index","Household Consumption Expenditure, incl. NPISHs, Nominal, National Currency","External Sector, Exports of Goods and Services, Nominal, National Currency","External Sector, Imports of Goods and Services, Nominal, National Currency","Consumer Price Index, All items, Index","Producer Price Index, All Commodities, Percentage change, previous period, Percent","Real Effective Exchange Rate, Consumer Price Index","Interest Rates, Money Market Rate","Public Final Consumption Expend., Nominal",M2,International Reserves,Crude Oil income,Population,"Real wage, NSA",Employment in Manufacturing,Population,Bicurrency bundle,Y must be real and equal C+I+G,Y must be SA,Y must be per capita,Ymust be an index value,C must be real,C must be SA,C must be per capita,C must be an index value ,Inflaiton CPI,real exchange rate (US dollar),real exchange rate (Euro),real exchange rate weighted,real balances must be real and per capita,M must be an index value,Domestic Inflaiton ,"Real wage, must be SA",Crude Oil income,Oil imcome must be per capita,oil income 
2000 Q4,2032.218,26.03,973.9296999999999,826.5355999999999,496.57529999999997,32.9788527836858,5.7768182833321,58.3719712310204,7,292.8497,1154.4,27972.14,14130,146272,79.68,112.774564647135,146.272,26.24776,6539.599308490204,6109.8231,41770.28481185736,0.7160293542515456,3741.56626968882,3431.2814,23458.224403850363,0.6940003461385384,1.0495811183403019,1.6525789117254757,1.1545380973701858,1.4062836720130563,23930.92989154748,0.4269553109823448,1.057768182833321,75.669241,15008.686455529918,102.60806207291839,0.296693847968213
2001 Q1,1917.058,27.74,960.364,792.7205,435.584,35.170102747165,3.93969549815846,59.2880309100632,8.6,345.89840000000004,1165,29708.87,13739,146304,78.32,112.641825479599,146.304,27.572725,5623.365176640232,6224.6041,42545.68637904637,0.7293213460572221,3462.0187454938723,3597.7493,24590.91549103237,0.7275104700524065,1.0664440930632728,1.6016044434537289,1.181146090413434,1.3965034833648327,22641.025207591436,0.40394192796831674,1.0393969549815847,81.701851,14220.975982606,97.2015528119942,0.169178495322565
2001 Q2,2117.1267000000003,28.8,1047.5659,838.7836,544.1066999999999,37.1443727142605,3.22014051522247,63.0955805797644,9.7,365.2157,1305.4,35052.56,13357,146227,82.16,112.335261211719,146.227,27.346465000000002,6327.950694444446,6594.4057,45097.0456892366,0.7730569386577444,3637.3815972222224,3752.1001,25659.42062683362,0.7591216833024239,1.056134893357815,1.5564456327282024,1.0890357556755996,1.3253867905263725,24033.831376595754,0.4287911918172491,1.0322014051522248,82.86103,14159.761782738646,96.83411259711713,0.0935329579590718
2001 Q3,2481.2023,30.25,1150.1534,848.6395,574.2192,38.0106626998223,2.49574588769141,63.2753480460948,7.2,373.87620000000004,1425.9,37956.9,13284,146066,88.41,111.700009481369,146.066,27.893105,7295.147107438017,6863.3525,46988.0225377569,0.8054722055837257,3802.16,3847.6875,26342.115892815575,0.7793188961324303,1.023322240281883,1.5407013490999095,1.098392068415719,1.3230796181376914,25682.334093665108,0.45820237614695564,1.0249574588769141,88.853612,13968.316542744165,95.6301709004434,0.0106945952691255
2001 Q4,2468.218,30.24,1258.8197,819.4181,612.0178000000001,39.1380026810333,0.276701715550656,63.720159946103,14.9,384.96729999999997,1612.6,36622.2,11754,145860,97.95,110.543282449986,145.86,28.420625,7476.249007936509,6981.5733,47864.89304812834,0.8205035856217485,4162.763558201058,3872.3393,26548.32921979981,0.7854196187549809,1.0296585195084291,1.5165198918034803,1.0944209513809402,1.30948172096754,28248.265575181333,0.5039815447214747,1.0027670171555065,92.868081,12328.607833219712,84.52356940367278,-0.181539321830839
2002 Q1,2260.2561,31.51,1233.6136000000001,759.4841,523.7715999999999,41.4235659762739,-0.275938189845473,65.560171213724,12.2,457.4112,1578.7,37294.82,11779,145649,91.78,110.040769887172,145.649,29.095200000000006,6425.082830847349,7121.0465,48891.8324190348,0.8381074573194801,3914.990796572517,4050.834,27812.302178525086,0.8228136540307759,1.0583975455739905,1.484747162786889,1.0533231752331607,1.2722182318960613,26166.438741192444,0.4668393598024064,0.9972406181015453,95.798209,12461.080178173717,85.55554915017417,-0.236594824735713
2002 Q2,2526.9469,32.92,1305.3055,929.4911999999999,638.8415,42.9194959513417,4.42722744881017,65.6809849807965,7.1,474.6222,1768.6,43578.89,13040,145463,98.3,108.741822319143,145.463,30.144865000000003,6793.126366950182,7065.5442,48572.793081402146,0.8326384610716714,3965.083535844471,4064.285,27940.335343008188,0.8266014539485693,1.036113017790999,1.4716920137192036,1.0925291429694328,1.2870463193483745,28328.427495329655,0.5054117255669737,1.0442722744881017,99.274149,13526.708446032184,92.99071548113393,-0.218758159995345
2002 Q3,2982.2701,34.81,1423.6259,1043.1613,713.456,43.7066059382232,7.10121886592477,64.2803860334756,8.13333333333333,483.46009999999995,1863.6,45618.94,15295,145296,103.12,107.196359154262,145.296,31.349815000000003,7620.122953174374,7178.4338,49405.58446206365,0.8469142333630788,4089.703820741166,4150.9957,28569.235904636054,0.8452071761866439,1.0183392178643909,1.4652454988668542,1.1597116053661622,1.3188889183345553,29346.205947617418,0.5235700636498216,1.0710121886592476,103.63317,15402.424224831948,106.00721440942593,-0.151919745474097
2002 Q4,3017.3233,34.82,1572.9596000000001,1081.558,770.135,45.0118059164699,4.65116279069766,64.952179872682,5.33333333333333,497.8531,2134.5,47792.9,16151,145135,110.54,105.274801681363,145.135,31.781620000000004,7771.109419873636,7263.3568,50045.52175560685,0.8578840864325783,4517.402642159679,4215.3341,29044.228476935266,0.8592596041928651,1.029862762166697,1.436718266454,1.1577539214475223,1.3037121251302333,32673.643357437082,0.5829353737536145,1.0465116279069766,104.62318,16150.176737372103,111.27692656748616,-0.165837512318998
2003 Q1,2867.6132000000002,37.16,1513.7505,1081.0546000000002,667.0399,47.4840058752666,2.69503546099291,65.369259630564,4.2,557.3919000000001,2226.4,55525.04,18351,144964,100.26,103.47966246326,144.964,32.699905,6602.79467168999,7324.7851,50528.304268646,0.8661599804709458,4073.6019913885907,4217.8836,29096.076267211174,0.8607934962632339,1.054923367513502,1.370492634856499,1.1809453488221877,1.2816976802374245,32344.145296223323,0.5770567494029873,1.026950354609929,104.67758,17767.411250888956,122.56430045313978,-0.130189491757921
