h,model_fun,mae
1,ets_fun,0.02049558169728838
1,tbats_fun,0.02066823363176746
1,arima_fun,0.022199378397188493
1,arima101_101_fun,0.023137980218402403
2,arima_fun,0.02272843990573342
2,ets_fun,0.023010256613684322
2,arima101_101_fun,0.023778639069909915
2,tbats_fun,0.024369060956654785
3,arima101_101_fun,0.021670586655079607
3,arima_fun,0.021967182370192018
3,tbats_fun,0.023327022186490774
3,ets_fun,0.024081808660829082
4,arima101_101_fun,0.018833366271157656
4,arima_fun,0.020118281100336505
4,tbats_fun,0.021071737116502866
4,ets_fun,0.023836238784049703
