date,ind_prod,access_date
2015-01-01,82.6,2020-09-25
2015-02-01,97.2,2020-09-25
2015-03-01,110.9,2020-09-25
2015-04-01,95.3,2020-09-25
2015-05-01,98.9,2020-09-25
2015-06-01,101.6,2020-09-25
2015-07-01,101.3,2020-09-25
2015-08-01,100.5,2020-09-25
2015-09-01,101,2020-09-25
2015-10-01,105.2,2020-09-25
2015-11-01,99.5,2020-09-25
2015-12-01,107.9,2020-09-25
2016-01-01,82.7,2020-09-25
2016-02-01,100.1,2020-09-25
2016-03-01,109.7,2020-09-25
2016-04-01,94.3,2020-09-25
2016-05-01,99.5,2020-09-25
2016-06-01,102.3,2020-09-25
2016-07-01,100.5,2020-09-25
2016-08-01,102.3,2020-09-25
2016-09-01,101.3,2020-09-25
2016-10-01,105.8,2020-09-25
2016-11-01,101.6,2020-09-25
2016-12-01,106.6,2020-09-25
2017-01-01,84.9,2020-09-25
2017-02-01,95.4,2020-09-25
2017-03-01,111.8,2020-09-25
2017-04-01,95,2020-09-25
2017-05-01,101.3,2020-09-25
2017-06-01,101.5,2020-09-25
2017-07-01,99.6,2020-09-25
2017-08-01,102.9,2020-09-25
2017-09-01,100.2,2020-09-25
2017-10-01,104,2020-09-25
2017-11-01,100.4,2020-09-25
2017-12-01,105.7,2020-09-25
2018-01-01,86.9,2020-09-25
2018-02-01,95.8,2020-09-25
2018-03-01,111.4,2020-09-25
2018-04-01,95.4,2020-09-25
2018-05-01,101.6,2020-09-25
2018-06-01,100.2,2020-09-25
2018-07-01,101,2020-09-25
2018-08-01,102.1,2020-09-25
2018-09-01,99.8,2020-09-25
2018-10-01,107,2020-09-25
2018-11-01,99.6,2020-09-25
2018-12-01,107.8,2020-09-25
2019-01-01,83.2,2020-09-25
2019-02-01,97.3,2020-09-25
2019-03-01,109.5,2020-09-25
2019-04-01,97.6,2020-09-25
2019-05-01,97.5,2020-09-25
2019-06-01,102.2,2020-09-25
2019-07-01,101.9,2020-09-25
2019-08-01,102.1,2020-09-25
2019-09-01,100.8,2020-09-25
2019-10-01,106.2,2020-09-25
2019-11-01,97.3,2020-09-25
2019-12-01,109,2020-09-25
2020-01-01,82.7,2020-09-25
2020-02-01,99.4,2020-09-25
2020-03-01,106.4,2020-09-25
2020-04-01,90.8,2020-09-25
2020-05-01,94.5,2020-09-25
2020-06-01,102.4,2020-09-25
2020-07-01,103.4,2020-09-25
2020-08-01,102.9,2020-09-25
