date,h,model_fun,point_forecast
2021-02-01,6,arima_fun,100.3
2021-02-01,6,arima101_010_fun,100.36660667476394
2021-02-01,6,ets_fun,97.78394428234131
2021-02-01,6,tbats_fun,97.23411011926399
2020-09-01,1,arima_fun,100.8
2020-09-01,1,arima101_010_fun,100.56434234374966
2020-09-01,1,ets_fun,100.6011094131571
2020-09-01,1,tbats_fun,100.28039330688934
2020-10-01,2,arima_fun,106.4
2020-10-01,2,arima101_010_fun,106.58303274532804
2020-10-01,2,ets_fun,105.6229634388413
2020-10-01,2,tbats_fun,104.35767437026784
2020-11-01,3,arima_fun,96.8
2020-11-01,3,arima101_010_fun,96.65784045213991
2020-11-01,3,ets_fun,99.59176258434843
2020-11-01,3,tbats_fun,99.43525538250289
2020-12-01,4,arima_fun,109.1
2020-12-01,4,arima101_010_fun,109.21041377875616
2020-12-01,4,ets_fun,107.46880337544312
2020-12-01,4,tbats_fun,106.91038068223381
2021-01-01,5,arima_fun,82.8
2021-01-01,5,arima101_010_fun,82.7142428157466
2021-01-01,5,ets_fun,83.86614400083778
2021-01-01,5,tbats_fun,84.44894922581898
