exch_rate,date
30.709,2003-05-01
30.3483,2003-06-01
30.2596,2003-07-01
30.5036,2003-08-01
30.6119,2003-09-01
29.8584,2003-10-01
29.7387,2003-11-01
29.4545,2003-12-01
28.4937,2004-01-01
28.5156,2004-02-01
28.4853,2004-03-01
28.8834,2004-04-01
28.985,2004-05-01
29.0274,2004-06-01
29.1019,2004-07-01
29.2447,2004-08-01
29.2171,2004-09-01
28.7655,2004-10-01
28.2367,2004-11-01
27.7487,2004-12-01
28.0845,2005-01-01
27.7738,2005-02-01
27.8256,2005-03-01
27.7726,2005-04-01
28.0919,2005-05-01
28.6721,2005-06-01
28.6341,2005-07-01
28.545,2005-08-01
28.4989,2005-09-01
28.4244,2005-10-01
28.7312,2005-11-01
28.7825,2005-12-01
28.1207,2006-01-01
28.1223,2006-02-01
27.7626,2006-03-01
27.2739,2006-04-01
26.984,2006-05-01
27.0789,2006-06-01
26.8718,2006-07-01
26.7379,2006-08-01
26.7799,2006-09-01
26.7477,2006-10-01
26.3147,2006-11-01
26.3311,2006-12-01
26.5331,2007-01-01
26.1599,2007-02-01
26.0113,2007-03-01
25.6851,2007-04-01
25.9031,2007-05-01
25.8162,2007-06-01
25.5999,2007-07-01
25.6494,2007-08-01
24.9493,2007-09-01
24.7238,2007-10-01
24.3506,2007-11-01
24.5462,2007-12-01
24.4764,2008-01-01
24.1159,2008-02-01
23.5156,2008-03-01
23.6471,2008-04-01
23.7384,2008-05-01
23.4573,2008-06-01
23.4456,2008-07-01
24.5769,2008-08-01
25.2464,2008-09-01
26.543,2008-10-01
27.606,2008-11-01
29.3804,2008-12-01
35.4146,2009-01-01
35.7205,2009-02-01
34.0134,2009-03-01
33.2491,2009-04-01
30.9843,2009-05-01
31.2904,2009-06-01
31.7555,2009-07-01
31.5687,2009-08-01
30.0922,2009-09-01
29.0488,2009-10-01
29.8179,2009-11-01
30.2442,2009-12-01
30.4312,2010-01-01
29.9484,2010-02-01
29.3638,2010-03-01
29.2886,2010-04-01
30.4956,2010-05-01
31.1954,2010-06-01
30.1869,2010-07-01
30.664,2010-08-01
30.403,2010-09-01
30.7821,2010-10-01
31.3061,2010-11-01
30.4769,2010-12-01
29.6684,2011-01-01
28.9405,2011-02-01
28.429,2011-03-01
27.5022,2011-04-01
28.0685,2011-05-01
28.0758,2011-06-01
27.6796,2011-07-01
28.8569,2011-08-01
31.8751,2011-09-01
29.8977,2011-10-01
31.3216,2011-11-01
32.1961,2011-12-01
30.3647,2012-01-01
28.9503,2012-02-01
29.3282,2012-03-01
29.3627,2012-04-01
32.4509,2012-05-01
32.8169,2012-06-01
32.1881,2012-07-01
32.2934,2012-08-01
30.9169,2012-09-01
31.5252,2012-10-01
31.0565,2012-11-01
30.3727,2012-12-01
30.0277,2013-01-01
30.6202,2013-02-01
31.0834,2013-03-01
31.2559,2013-04-01
31.5893,2013-05-01
32.709,2013-06-01
32.8901,2013-07-01
33.2474,2013-08-01
32.3451,2013-09-01
32.0613,2013-10-01
33.1916,2013-11-01
32.7292,2013-12-01
35.2448,2014-01-01
36.0501,2014-02-01
35.6871,2014-03-01
35.6983,2014-04-01
34.7352,2014-05-01
33.6306,2014-06-01
35.7271,2014-07-01
36.9316,2014-08-01
39.3866,2014-09-01
43.3943,2014-10-01
49.322,2014-11-01
56.2584,2014-12-01
68.9291,2015-01-01
61.2718,2015-02-01
58.4643,2015-03-01
51.7029,2015-04-01
52.9716,2015-05-01
55.524,2015-06-01
58.9906,2015-07-01
66.4779,2015-08-01
66.2367,2015-09-01
64.3742,2015-10-01
66.2393,2015-11-01
72.8827,2015-12-01
75.1723,2016-01-01
75.0903,2016-02-01
67.6076,2016-03-01
64.3334,2016-04-01
66.0825,2016-05-01
64.2575,2016-06-01
67.0512,2016-07-01
64.9072,2016-08-01
63.1581,2016-09-01
62.9037,2016-10-01
64.9449,2016-11-01
60.6569,2016-12-01
60.1618,2017-01-01
57.9371,2017-02-01
56.3779,2017-03-01
56.9838,2017-04-01
56.5168,2017-05-01
59.0855,2017-06-01
59.5436,2017-07-01
58.7306,2017-08-01
58.0169,2017-09-01
57.8716,2017-10-01
58.3311,2017-11-01
57.6002,2017-12-01
56.2914,2018-01-01
55.6717,2018-02-01
57.2649,2018-03-01
61.9997,2018-04-01
62.5937,2018-05-01
62.7565,2018-06-01
62.7805,2018-07-01
68.0821,2018-08-01
65.5906,2018-09-01
65.7742,2018-10-01
66.6342,2018-11-01
69.4706,2018-12-01
66.0987,2019-01-01
65.757,2019-02-01
65.7956,2019-03-01
