date,h,model_fun,point_forecast
2021-04-01,4,arima_fun,-0.03126295830762056
2021-04-01,4,arima101_101_fun,0.036288628723026684
2021-04-01,4,ets_fun,-0.08025543741109384
2021-04-01,4,tbats_fun,-0.04066884141206052
2020-07-01,1,arima_fun,-0.06340926341432672
2020-07-01,1,arima101_101_fun,-0.09289512126231719
2020-07-01,1,ets_fun,-0.08025543741109384
2020-07-01,1,tbats_fun,-0.06839533666829999
2020-10-01,2,arima_fun,-0.05009316773799499
2020-10-01,2,arima101_101_fun,-0.05790978966797511
2020-10-01,2,ets_fun,-0.08025543741109384
2020-10-01,2,tbats_fun,-0.05739632716892904
2021-01-01,3,arima_fun,-0.03957348372950732
2021-01-01,3,arima101_101_fun,-0.024997781047194703
2021-01-01,3,ets_fun,-0.08025543741109384
2021-01-01,3,tbats_fun,-0.0482592227746836
