h,model_fun,mae
1,arima_fun,2.016966929415379
1,ets_fun,2.2428925553797217
1,tbats_fun,2.4047898862370647
1,arima101_010_fun,4.141525358437739
2,arima_fun,3.71546598436968
2,ets_fun,3.985791123775954
2,tbats_fun,4.073743376050255
2,arima101_010_fun,6.043362116612138
3,arima_fun,3.8894380757455287
3,tbats_fun,4.004863973230213
3,ets_fun,4.457213977163191
3,arima101_010_fun,5.034811760070754
4,tbats_fun,3.950970915067338
4,arima_fun,4.0950734454990805
4,ets_fun,4.814010199027024
4,arima101_010_fun,4.907554393639787
