h,model_fun,mae
1,arima101_010_fun,1.193570471446922
1,arima_fun,1.3436181793158786
1,tbats_fun,1.8385815681117965
1,ets_fun,1.882010902948147
2,arima101_010_fun,1.4030709813824813
2,arima_fun,1.6921793043617952
2,ets_fun,1.8227886578894479
2,tbats_fun,2.2562671882701237
3,arima101_010_fun,1.385279086686931
3,arima_fun,1.660010039430108
3,ets_fun,1.779283835404602
3,tbats_fun,2.1897767815821423
4,arima101_010_fun,1.387172788714589
4,arima_fun,1.6471383446403545
4,ets_fun,1.7542830879728797
4,tbats_fun,2.3132514429884803
5,arima101_010_fun,1.3865654346102805
5,ets_fun,1.574083300363561
5,arima_fun,1.6653316751798144
5,tbats_fun,1.940671839280797
6,arima101_010_fun,1.3866616243557275
6,arima_fun,1.5566116863748174
6,ets_fun,1.67931012316079
6,tbats_fun,1.9448523201613606
