h,model_fun,mae
1,ets_fun,0.0073779151202812915
1,tbats_fun,0.007536188843980622
1,arima101_101_fun,0.00771076476011169
1,arima_fun,0.009237866377063565
2,ets_fun,0.010241306543854337
2,tbats_fun,0.01125784504414189
2,arima101_101_fun,0.012347026121407078
2,arima_fun,0.013428685052649322
3,tbats_fun,0.009240024189907563
3,ets_fun,0.009533803471327706
3,arima_fun,0.01321180653565085
3,arima101_101_fun,0.014063594304151154
4,ets_fun,0.008978358056325998
4,tbats_fun,0.010275029341083656
4,arima101_101_fun,0.013672194045004825
4,arima_fun,0.015773972670152073
