h,model_fun,mae
1,arima101_101_fun,0.18240636472226127
1,arima_fun,0.19072691694255803
1,ets_fun,0.2073000309036944
1,tbats_fun,0.21540092945124972
2,arima_fun,0.2445630206546686
2,arima101_101_fun,0.2450945485993401
2,ets_fun,0.2691068388193833
2,tbats_fun,0.2733363647136268
3,arima_fun,0.21924446809020373
3,tbats_fun,0.23299772588600276
3,ets_fun,0.2404139367134896
3,arima101_101_fun,0.24794180133912946
4,tbats_fun,0.20716737722707865
4,arima_fun,0.22689366138323078
4,arima101_101_fun,0.2335159813074786
4,ets_fun,0.24986005375732667
5,arima_fun,0.25204348448386144
5,arima101_101_fun,0.2534671979723314
5,tbats_fun,0.2661032114704054
5,ets_fun,0.31644318589826276
6,arima101_101_fun,0.26131214302518935
6,ets_fun,0.2693034482470858
6,arima_fun,0.2776266742091581
6,tbats_fun,0.30910353233698834
