h,model_fun,mae
1,arima101_010_fun,1.2162034630298129
1,arima_fun,1.2755306592323068
1,ets_fun,1.6051893574680376
1,tbats_fun,1.7310291915092941
2,arima_fun,1.5747418558545947
2,ets_fun,1.623660832754311
2,arima101_010_fun,1.6771549326682331
2,tbats_fun,2.352401244965578
3,ets_fun,1.362800225713169
3,arima101_010_fun,1.6143962824136269
3,arima_fun,1.6194154624446622
3,tbats_fun,1.784473103017608
4,ets_fun,1.376646685096775
4,arima_fun,1.6090571134185465
4,arima101_010_fun,1.6274062741799424
4,tbats_fun,2.0692118673570388
5,ets_fun,1.4084080517804756
5,arima_fun,1.5606071769895067
5,arima101_010_fun,1.6244110214497898
5,tbats_fun,2.016197691392339
6,ets_fun,1.3868997017180291
6,arima_fun,1.5690244398568085
6,arima101_010_fun,1.6251268580184783
6,tbats_fun,2.0931147936907095
