date,h,model_fun,point_forecast
2020-01-01,6,arima_fun,78.06253673674367
2020-01-01,6,arima101_010_fun,78.50000000001974
2020-01-01,6,ets_fun,77.34596723134439
2020-01-01,6,tbats_fun,78.66654246543169
2019-08-01,1,arima_fun,102.28076932041482
2019-08-01,1,arima101_010_fun,102.47879516746751
2019-08-01,1,ets_fun,101.1606041517708
2019-08-01,1,tbats_fun,101.26323096485218
2019-09-01,2,arima_fun,102.85492301652339
2019-09-01,2,arima101_010_fun,102.50216236177619
2019-09-01,2,ets_fun,103.11447022478472
2019-09-01,2,tbats_fun,103.58259711967136
2019-10-01,3,arima_fun,105.56113835034276
2019-10-01,3,arima101_010_fun,105.79997886208724
2019-10-01,3,ets_fun,105.58660237608048
2019-10-01,3,tbats_fun,104.86843187992872
2019-11-01,4,arima_fun,100.69225765262733
2019-11-01,4,arima101_010_fun,99.80000020663117
2019-11-01,4,ets_fun,101.2329922873874
2019-11-01,4,tbats_fun,102.53723049249696
2019-12-01,5,arima_fun,107.4703211424065
2019-12-01,5,arima101_010_fun,106.9999999979801
2019-12-01,5,ets_fun,108.64101053524895
2019-12-01,5,tbats_fun,107.39615856854681
