"h";"arima_fun";"arima11_fun";"ets_fun";"tbats_fun"
"1 мес€ц";0.16;0.13;0.16;0.15
"2 мес€ца";0.29;0.23;0.31;0.24
"3 мес€ца";0.35;0.29;0.38;0.27
"4 мес€ца";0.37;0.31;0.36;0.28
"5 мес€цев";0.33;0.33;0.31;0.24
"6 мес€цев";0.31;0.32;0.22;0.25
