"date";"arima_fun";"arima11_fun";"ets_fun";"tbats_fun"
"февраль 2019";100.77;100.67;100.57;100.6
"март 2019";100.6;100.57;100.51;100.38
"апрель 2019";100.54;100.5;100.48;100.37
"май 2019";100.48;100.52;100.57;100.28
"июнь 2019";100.53;100.52;100.62;100.43
"июль 2019";100.34;100.57;100.72;100.37
