h,model_fun,mae
1,ets_fun,0.007389764277219464
1,tbats_fun,0.007656972937696605
1,arima101_101_fun,0.009077181334925022
1,arima_fun,0.009920068478143819
2,ets_fun,0.0113608417952581
2,arima101_101_fun,0.011669940682788387
2,tbats_fun,0.011814031611056451
2,arima_fun,0.01421899927627372
3,arima101_101_fun,0.008630331464814664
3,arima_fun,0.00998730466241889
3,ets_fun,0.010743786781353688
3,tbats_fun,0.012809286792951959
4,arima101_101_fun,0.007684140339365197
4,ets_fun,0.008553669513200593
4,arima_fun,0.011512267822724812
4,tbats_fun,0.01208576258743136
