h,model_fun,mae
1,arima11_fun,0.18319201683513012
1,tbats_fun,0.19479074120837184
1,ets_fun,0.24455189599218172
1,arima_fun,0.39814850530378676
2,arima11_fun,0.23810677966042954
2,tbats_fun,0.28306425788498507
2,ets_fun,0.29289889239412215
2,arima_fun,0.4033172613307774
3,arima11_fun,0.3002554150760132
3,ets_fun,0.32080422570695494
3,tbats_fun,0.36241121674621346
3,arima_fun,0.4086113789778255
4,ets_fun,0.2802978886400345
4,arima11_fun,0.32617670790351966
4,tbats_fun,0.39059257725253443
4,arima_fun,0.4135679845708826
5,ets_fun,0.24536514654348243
5,tbats_fun,0.3424980722258385
5,arima11_fun,0.35567663177976316
5,arima_fun,0.4184185149469825
6,ets_fun,0.31106169733908307
6,arima11_fun,0.3654015789112263
6,tbats_fun,0.3866839093754869
6,arima_fun,0.42334619093539644
