date,arima_fun,arima11_fun,ets_fun,tbats_fun
ноябрь 2018,100.56,100.45,100.44,100.25
декабрь 2018,100.56,100.65,100.76,100.56
январь 2019,100.56,100.87,101.12,100.82
февраль 2019,100.56,100.6,100.71,100.5
март 2019,100.56,100.52,100.55,100.3
апрель 2019,100.56,100.47,100.43,100.32
