date,arima_fun,arima11_fun,ets_fun,tbats_fun
октябрь 2018,100.56,100.34,100.36,100.46
ноябрь 2018,100.56,100.43,100.46,100.38
декабрь 2018,100.56,100.64,100.74,100.7
январь 2019,100.56,100.85,101.13,100.91
февраль 2019,100.56,100.58,100.67,100.58
март 2019,100.56,100.51,100.5,100.35
