h,model_fun,mae
1,arima11_fun,0.17716117984809815
1,tbats_fun,0.19025244919749315
1,ets_fun,0.2205354582985806
1,arima_fun,0.39652661064421163
2,arima11_fun,0.24557799605239403
2,tbats_fun,0.2887842243676443
2,ets_fun,0.306309155658983
2,arima_fun,0.4018020541549544
3,ets_fun,0.2979790416280662
3,arima11_fun,0.3164692417230053
3,tbats_fun,0.3189580642286103
3,arima_fun,0.406993464052249
4,ets_fun,0.2917420953845485
4,arima11_fun,0.3388794471957611
4,tbats_fun,0.34704858698236346
4,arima_fun,0.4118674136320789
5,ets_fun,0.27406383074068436
5,tbats_fun,0.33572657762220404
5,arima11_fun,0.35944782801586556
5,arima_fun,0.4167040149392696
6,ets_fun,0.2816471893962044
6,tbats_fun,0.3479907092945195
6,arima11_fun,0.3617575320359454
6,arima_fun,0.42154995331462014
