h,arima_fun,arima11_fun,ets_fun,tbats_fun
1 месяц,0.4,0.18,0.19,0.19
2 месяца,0.41,0.24,0.27,0.28
3 месяца,0.41,0.31,0.35,0.35
4 месяца,0.42,0.33,0.3,0.34
5 месяцев,0.42,0.36,0.27,0.33
6 месяцев,0.43,0.36,0.33,0.32
