h,arima_fun,arima11_fun,ets_fun,tbats_fun
1 месяц,0.4,0.18,0.24,0.19
2 месяца,0.4,0.24,0.29,0.28
3 месяца,0.41,0.3,0.32,0.36
4 месяца,0.41,0.33,0.28,0.39
5 месяцев,0.42,0.36,0.25,0.34
6 месяцев,0.42,0.37,0.31,0.39
