h,model_fun,mae
1,arima101_010_fun,2.6145425012070507
1,arima_fun,2.8115134370790327
1,tbats_fun,2.821091472659801
1,ets_fun,2.845306345905309
2,arima101_010_fun,2.3894455372615844
2,arima_fun,2.7044647081541267
2,ets_fun,2.8684316979126465
2,tbats_fun,3.143827585287419
3,arima101_010_fun,2.3719053918527
3,arima_fun,2.731864008328009
3,ets_fun,2.851609466699269
3,tbats_fun,2.9752031994742643
4,arima101_010_fun,2.483202854134734
4,arima_fun,2.8075362636672736
4,ets_fun,2.855598837886934
4,tbats_fun,3.6154581485798274
5,arima101_010_fun,2.5123508898154627
5,ets_fun,2.8455286011353715
5,arima_fun,2.9397468345001454
5,tbats_fun,3.405302896925186
6,arima101_010_fun,2.4580261297708526
6,ets_fun,2.7807529777236746
6,arima_fun,2.9432314008098035
6,tbats_fun,3.364203563026114
