h,model_fun,mae
1,arima101_101_fun,0.1667270818651054
1,tbats_fun,0.18178512349102505
1,ets_fun,0.18479451069983552
1,arima_fun,0.20500208740210207
2,arima101_101_fun,0.23256681099630458
2,ets_fun,0.23593327839959438
2,tbats_fun,0.23733415279335707
2,arima_fun,0.27890129842146777
3,ets_fun,0.236555878172382
3,arima_fun,0.24370598932463397
3,arima101_101_fun,0.2529596931604287
3,tbats_fun,0.2601139892404124
4,ets_fun,0.24579874787966235
4,tbats_fun,0.24662138873369732
4,arima_fun,0.25231128530358143
4,arima101_101_fun,0.25373487143488016
5,arima101_101_fun,0.2586967948670898
5,ets_fun,0.26529924906658403
5,tbats_fun,0.28063953993613144
5,arima_fun,0.28527172155598896
6,arima101_101_fun,0.26638252950501723
6,ets_fun,0.2804135627656224
6,tbats_fun,0.28281932702784085
6,arima_fun,0.28457487397492026
