h,model_fun,mae
1,arima_fun,2.8460414977690687
1,ets_fun,2.9714843300173612
1,tbats_fun,3.159390911770757
1,arima101_010_fun,5.425744093588942
2,arima_fun,3.189400135872603
2,ets_fun,3.728607157911341
2,tbats_fun,3.9089148577762427
2,arima101_010_fun,5.577361389739151
3,arima_fun,3.2784059836512944
3,tbats_fun,3.79622537723838
3,ets_fun,4.142868576333726
3,arima101_010_fun,4.301030519962064
4,arima_fun,2.9032791664260236
4,tbats_fun,3.4906239398393626
4,ets_fun,4.256919900135078
4,arima101_010_fun,4.699780100225965
