date,h,model_fun,point_forecast
2021-04-01,6,arima_fun,91
2021-04-01,6,arima101_010_fun,90.92823949254834
2021-04-01,6,ets_fun,94.6430639175878
2021-04-01,6,tbats_fun,93.6750139328139
2020-11-01,1,arima_fun,96.8
2020-11-01,1,arima101_010_fun,97.09060612951212
2020-11-01,1,ets_fun,99.79261844088381
2020-11-01,1,tbats_fun,99.6956549954075
2020-12-01,2,arima_fun,109.1
2020-12-01,2,arima101_010_fun,108.88030462391684
2020-12-01,2,ets_fun,107.30485009402969
2020-12-01,2,tbats_fun,106.3326572958563
2021-01-01,3,arima_fun,82.8
2021-01-01,3,arima101_010_fun,82.96608754382898
2021-01-01,3,ets_fun,83.80130284999089
2021-01-01,3,tbats_fun,84.62255383709156
2021-02-01,4,arima_fun,100.3
2021-02-01,4,arima101_010_fun,100.17443945017439
2021-02-01,4,ets_fun,97.41692253804365
2021-02-01,4,tbats_fun,97.0884009166442
2021-03-01,5,arima_fun,107.4
2021-03-01,5,arima101_010_fun,107.49492254090254
2021-03-01,5,ets_fun,110.29672276055743
2021-03-01,5,tbats_fun,110.90196941339799
