date,h,model_fun,point_forecast
2021-05-01,6,arima_fun,100.54827213971271
2021-05-01,6,arima101_101_fun,100.4597870843518
2021-05-01,6,ets_fun,100.54156254721508
2021-05-01,6,tbats_fun,100.33936223693283
2020-12-01,1,arima_fun,100.80502797855766
2020-12-01,1,arima101_101_fun,100.84350515493381
2020-12-01,1,ets_fun,100.9031210974907
2020-12-01,1,tbats_fun,100.98620924761748
2021-01-01,2,arima_fun,100.76899292529427
2021-01-01,2,arima101_101_fun,100.94304556367538
2021-01-01,2,ets_fun,101.18905161375288
2021-01-01,2,tbats_fun,101.10735442470919
2021-02-01,3,arima_fun,100.54707708784422
2021-02-01,3,arima101_101_fun,100.61931537704514
2021-02-01,3,ets_fun,100.75474551418546
2021-02-01,3,tbats_fun,100.6812360493057
2021-03-01,4,arima_fun,100.5803080154458
2021-03-01,4,arima101_101_fun,100.54840412436408
2021-03-01,4,ets_fun,100.6851143998064
2021-03-01,4,tbats_fun,100.47297825210909
2021-04-01,5,arima_fun,100.66345439813813
2021-04-01,5,arima101_101_fun,100.53271480008276
2021-04-01,5,ets_fun,100.59200386100662
2021-04-01,5,tbats_fun,100.48475490467128
