h,model_fun,mae
1,arima101_010_fun,2.2031043706008697
1,tbats_fun,2.2522304712324654
1,arima_fun,2.279344369601757
1,ets_fun,2.530585538293302
2,arima101_010_fun,2.0807729324495585
2,arima_fun,2.3909617622857886
2,tbats_fun,2.393442214236986
2,ets_fun,2.5402716544992026
3,arima101_010_fun,2.1015728734210932
3,tbats_fun,2.333312960044308
3,arima_fun,2.3642281401814946
3,ets_fun,2.5114181420322503
4,arima101_010_fun,2.2015959602260833
4,ets_fun,2.394668561300852
4,arima_fun,2.5628574132092052
4,tbats_fun,2.7151398436364835
5,arima101_010_fun,2.1700535384422426
5,ets_fun,2.4407983914072204
5,arima_fun,2.51502129664684
5,tbats_fun,2.673012744479412
6,arima101_010_fun,2.0029098589171994
6,ets_fun,2.418103965373234
6,arima_fun,2.554434597588871
6,tbats_fun,2.6111798647072644
