h,model_fun,mae
1,tbats_fun,1.3157846756281704
1,ets_fun,1.46666839899063
1,arima101_010_fun,1.5853734480194983
1,arima_fun,1.7216191270031327
2,ets_fun,2.249961684452721
2,arima_fun,2.63671023103016
2,tbats_fun,2.655861241639497
2,arima101_010_fun,2.720117709073449
3,ets_fun,2.5666883749028764
3,arima101_010_fun,2.8725231631828643
3,arima_fun,3.1504157061775664
3,tbats_fun,3.655075153715726
4,arima_fun,2.4545909516714346
4,ets_fun,2.7832983084099845
4,arima101_010_fun,3.1407750920460487
4,tbats_fun,4.298464057877453
