date,exch_rate,access_date
2005-06-01,28.6721,2019-05-15
2005-07-01,28.6341,2019-05-15
2005-08-01,28.545,2019-05-15
2005-09-01,28.4989,2019-05-15
2005-10-01,28.4244,2019-05-15
2005-11-01,28.7312,2019-05-15
2005-12-01,28.7825,2019-05-15
2006-01-01,28.1207,2019-05-15
2006-02-01,28.1223,2019-05-15
2006-03-01,27.7626,2019-05-15
2006-04-01,27.2739,2019-05-15
2006-05-01,26.984,2019-05-15
2006-06-01,27.0789,2019-05-15
2006-07-01,26.8718,2019-05-15
2006-08-01,26.7379,2019-05-15
2006-09-01,26.7799,2019-05-15
2006-10-01,26.7477,2019-05-15
2006-11-01,26.3147,2019-05-15
2006-12-01,26.3311,2019-05-15
2007-01-01,26.5331,2019-05-15
2007-02-01,26.1599,2019-05-15
2007-03-01,26.0113,2019-05-15
2007-04-01,25.6851,2019-05-15
2007-05-01,25.9031,2019-05-15
2007-06-01,25.8162,2019-05-15
2007-07-01,25.5999,2019-05-15
2007-08-01,25.6494,2019-05-15
2007-09-01,24.9493,2019-05-15
2007-10-01,24.7238,2019-05-15
2007-11-01,24.3506,2019-05-15
2007-12-01,24.5462,2019-05-15
2008-01-01,24.4764,2019-05-15
2008-02-01,24.1159,2019-05-15
2008-03-01,23.5156,2019-05-15
2008-04-01,23.6471,2019-05-15
2008-05-01,23.7384,2019-05-15
2008-06-01,23.4573,2019-05-15
2008-07-01,23.4456,2019-05-15
2008-08-01,24.5769,2019-05-15
2008-09-01,25.2464,2019-05-15
2008-10-01,26.543,2019-05-15
2008-11-01,27.606,2019-05-15
2008-12-01,29.3804,2019-05-15
2009-01-01,35.4146,2019-05-15
2009-02-01,35.7205,2019-05-15
2009-03-01,34.0134,2019-05-15
2009-04-01,33.2491,2019-05-15
2009-05-01,30.9843,2019-05-15
2009-06-01,31.2904,2019-05-15
2009-07-01,31.7555,2019-05-15
2009-08-01,31.5687,2019-05-15
2009-09-01,30.0922,2019-05-15
2009-10-01,29.0488,2019-05-15
2009-11-01,29.8179,2019-05-15
2009-12-01,30.2442,2019-05-15
2010-01-01,30.4312,2019-05-15
2010-02-01,29.9484,2019-05-15
2010-03-01,29.3638,2019-05-15
2010-04-01,29.2886,2019-05-15
2010-05-01,30.4956,2019-05-15
2010-06-01,31.1954,2019-05-15
2010-07-01,30.1869,2019-05-15
2010-08-01,30.664,2019-05-15
2010-09-01,30.403,2019-05-15
2010-10-01,30.7821,2019-05-15
2010-11-01,31.3061,2019-05-15
2010-12-01,30.4769,2019-05-15
2011-01-01,29.6684,2019-05-15
2011-02-01,28.9405,2019-05-15
2011-03-01,28.429,2019-05-15
2011-04-01,27.5022,2019-05-15
2011-05-01,28.0685,2019-05-15
2011-06-01,28.0758,2019-05-15
2011-07-01,27.6796,2019-05-15
2011-08-01,28.8569,2019-05-15
2011-09-01,31.8751,2019-05-15
2011-10-01,29.8977,2019-05-15
2011-11-01,31.3216,2019-05-15
2011-12-01,32.1961,2019-05-15
2012-01-01,30.3647,2019-05-15
2012-02-01,28.9503,2019-05-15
2012-03-01,29.3282,2019-05-15
2012-04-01,29.3627,2019-05-15
2012-05-01,32.4509,2019-05-15
2012-06-01,32.8169,2019-05-15
2012-07-01,32.1881,2019-05-15
2012-08-01,32.2934,2019-05-15
2012-09-01,30.9169,2019-05-15
2012-10-01,31.5252,2019-05-15
2012-11-01,31.0565,2019-05-15
2012-12-01,30.3727,2019-05-15
2013-01-01,30.0277,2019-05-15
2013-02-01,30.6202,2019-05-15
2013-03-01,31.0834,2019-05-15
2013-04-01,31.2559,2019-05-15
2013-05-01,31.5893,2019-05-15
2013-06-01,32.709,2019-05-15
2013-07-01,32.8901,2019-05-15
2013-08-01,33.2474,2019-05-15
2013-09-01,32.3451,2019-05-15
2013-10-01,32.0613,2019-05-15
2013-11-01,33.1916,2019-05-15
2013-12-01,32.7292,2019-05-15
2014-01-01,35.2448,2019-05-15
2014-02-01,36.0501,2019-05-15
2014-03-01,35.6871,2019-05-15
2014-04-01,35.6983,2019-05-15
2014-05-01,34.7352,2019-05-15
2014-06-01,33.6306,2019-05-15
2014-07-01,35.7271,2019-05-15
2014-08-01,36.9316,2019-05-15
2014-09-01,39.3866,2019-05-15
2014-10-01,43.3943,2019-05-15
2014-11-01,49.322,2019-05-15
2014-12-01,56.2584,2019-05-15
2015-01-01,68.9291,2019-05-15
2015-02-01,61.2718,2019-05-15
2015-03-01,58.4643,2019-05-15
2015-04-01,51.7029,2019-05-15
2015-05-01,52.9716,2019-05-15
2015-06-01,55.524,2019-05-15
2015-07-01,58.9906,2019-05-15
2015-08-01,66.4779,2019-05-15
2015-09-01,66.2367,2019-05-15
2015-10-01,64.3742,2019-05-15
2015-11-01,66.2393,2019-05-15
2015-12-01,72.8827,2019-05-15
2016-01-01,75.1723,2019-05-15
2016-02-01,75.0903,2019-05-15
2016-03-01,67.6076,2019-05-15
2016-04-01,64.3334,2019-05-15
2016-05-01,66.0825,2019-05-15
2016-06-01,64.2575,2019-05-15
2016-07-01,67.0512,2019-05-15
2016-08-01,64.9072,2019-05-15
2016-09-01,63.1581,2019-05-15
2016-10-01,62.9037,2019-05-15
2016-11-01,64.9449,2019-05-15
2016-12-01,60.6569,2019-05-15
2017-01-01,60.1618,2019-05-15
2017-02-01,57.9371,2019-05-15
2017-03-01,56.3779,2019-05-15
2017-04-01,56.9838,2019-05-15
