h,model_fun,mae
1,arima101_101_fun,0.1651512769435451
1,tbats_fun,0.18653377815248975
1,arima_fun,0.19436211340891288
1,ets_fun,0.20310076095181404
2,arima101_101_fun,0.23683453771115187
2,tbats_fun,0.240464371492088
2,arima_fun,0.2540021651162121
2,ets_fun,0.300917241170689
3,arima101_101_fun,0.2559557967482565
3,tbats_fun,0.2569128194462358
3,arima_fun,0.27694699260470657
3,ets_fun,0.3106694314423628
4,tbats_fun,0.19689196020466745
4,arima101_101_fun,0.24926729396910344
4,arima_fun,0.2830645135031327
4,ets_fun,0.34934300357234993
5,tbats_fun,0.23140124069690737
5,arima101_101_fun,0.2629127420202286
5,arima_fun,0.28396462086572877
5,ets_fun,0.3443668742797066
6,tbats_fun,0.25655872987558
6,arima101_101_fun,0.27155319016428336
6,arima_fun,0.28418419561001557
6,ets_fun,0.3132009806940268
