"date";"arima_fun";"arima11_fun";"ets_fun";"tbats_fun"
"январь 2019";100.56;101.06;101.19;101.07
"февраль 2019";100.56;100.72;100.83;100.72
"март 2019";100.56;100.6;100.76;100.58
"апрель 2019";100.56;100.52;100.67;100.6
"май 2019";100.56;100.53;100.66;100.5
"июнь 2019";100.56;100.53;100.67;100.67
