h,model_fun,mae
1,arima11_fun,0.13128248677919466
1,tbats_fun,0.1593833755542328
1,ets_fun,0.16319566525077994
1,arima_fun,0.3772579185520429
2,arima11_fun,0.22714948286174858
2,tbats_fun,0.2441780709489194
2,ets_fun,0.2937943899723571
2,arima_fun,0.38263348416292414
3,tbats_fun,0.2791055359990726
3,arima11_fun,0.2833716235254893
3,ets_fun,0.36274751741144184
3,arima_fun,0.3872760180995338
4,tbats_fun,0.29163687713034225
4,arima11_fun,0.30869417106775726
4,ets_fun,0.3340858935808902
4,arima_fun,0.3916289592760194
5,tbats_fun,0.24777115726954063
5,ets_fun,0.26994950857969047
5,arima11_fun,0.33250029178701285
5,arima_fun,0.3957828054298619
6,ets_fun,0.18642392781085326
6,tbats_fun,0.2641828318079651
6,arima11_fun,0.32396634361767823
6,arima_fun,0.4000271493212901
