"h";"arima_fun";"arima11_fun";"ets_fun";"tbats_fun"
"1 квартал";0.0127;0.0081;0.0062;0.0057
"2 квартала";0.0124;0.0138;0.0107;0.0097
"3 квартала";0.0115;0.0106;0.0083;0.0075
