"h";"arima_fun";"arima11_fun";"ets_fun";"tbats_fun"
"1 мес€ц";0.38;0.13;0.16;0.16
"2 мес€ца";0.38;0.23;0.29;0.24
"3 мес€ца";0.39;0.28;0.36;0.28
"4 мес€ца";0.39;0.31;0.33;0.29
"5 мес€цев";0.4;0.33;0.27;0.25
"6 мес€цев";0.4;0.32;0.19;0.26
