h,model_fun,mae
1,arima_fun,1.944694063248678
1,arima101_010_fun,2.0056096843159916
1,tbats_fun,2.3042118573653116
1,ets_fun,2.3124597621423466
2,arima101_010_fun,1.9908784121721443
2,arima_fun,2.001204555413713
2,ets_fun,2.2352710418808663
2,tbats_fun,2.287483151889602
3,arima101_010_fun,2.052058523492033
3,tbats_fun,2.2216302351731425
3,ets_fun,2.24021629718435
3,arima_fun,2.4092639614656757
4,arima101_010_fun,2.0724716306607434
4,ets_fun,2.2338460393798916
4,arima_fun,2.360859158295697
4,tbats_fun,2.414127557203538
5,arima101_010_fun,1.9216080192073888
5,ets_fun,2.229101369460656
5,arima_fun,2.3328347518163772
5,tbats_fun,2.490871548469836
6,arima101_010_fun,1.749149677829493
6,ets_fun,2.18079593765843
6,arima_fun,2.3527838276881403
6,tbats_fun,2.4887206661327137
