date,h,model_fun,point_forecast
2020-12-01,6,arima_fun,109
2020-12-01,6,arima101_010_fun,109.03051338285661
2020-12-01,6,ets_fun,107.30832635971831
2020-12-01,6,tbats_fun,106.26015890109004
2020-07-01,1,arima_fun,101.9
2020-07-01,1,arima101_010_fun,101.79339798181945
2020-07-01,1,ets_fun,100.76300869405212
2020-07-01,1,tbats_fun,99.85892498872396
2020-08-01,2,arima_fun,102.1
2020-08-01,2,arima101_010_fun,102.18300617718761
2020-08-01,2,ets_fun,101.74021337456034
2020-08-01,2,tbats_fun,101.63384074583074
2020-09-01,3,arima_fun,100.8
2020-09-01,3,arima101_010_fun,100.73536683855617
2020-09-01,3,ets_fun,100.61131034227051
2020-09-01,3,tbats_fun,98.67691502071797
2020-10-01,4,arima_fun,106.2
2020-10-01,4,arima101_010_fun,106.25032692384788
2020-10-01,4,ets_fun,105.42526289978964
2020-10-01,4,tbats_fun,104.42008795570007
2020-11-01,5,arima_fun,97.3
2020-11-01,5,arima101_010_fun,97.26081269726855
2020-11-01,5,ets_fun,99.49546638720322
2020-11-01,5,tbats_fun,98.21286172900153
