Date,Employment in Manufacturing,Industrial Production,"""Consumer Prices. all items""",Interbank rate,"Interest Rates, Lending Rate",Реальные денежные доходы (HHI_M_DIRI),Unemployment Rate,"""Producer Prices. all items""",Ввод в действие жилых домов (CONSTR_M_NAT),Индекс реальных инвестицй в основной капитал,Реальная зарплата (WAG_M),М2,RTS index,Real Effective Exchange Rate. Consumer Price Index,"Commodity Prices, Natural Gas",Trade Balance ,Total Reserves excluding Gold,"National Currency per U.S. Dollar, end of period, курс на ММВБ",Заявленная потребность в работниках ,Индекс реальнго объема сельхозпроизводства,Индекс реального оборота розничной торговли ,Сальдо консолидированного бюджеьа,"Goods, Value of Exports","Goods, Value of Imports"
2003 Jan,104.359033518175,75.2536738595487,46.8088492198525,7.3,14.5,88.1,9.3,41.84272300469486,1700,76.3,95.85,2026.5,351.82,64.6,3.15,4421.8,45533.636226358,31.1,805,72,125.2,95.69999999999999,9627,4732
2003 Feb,104.273109878831,74.3501890489363,47.5718292071362,2.5,14.1,99.1,9.6,42.51760563380285,1500,89.3,94.41,2108,366.41,65.22,3.15,4127.8,49325.9323308399,30.73,838,77.1,123.1,-6.5,9861,5212
2003 Mar,103.958056534572,82.3052626253044,48.071339198811,2.8,13.3,104.1,9.2,43.104460093896755,2400,101.1,98.95,2208.5,375.29,66.31,3.17037037037036,4951.3,51790.0360539078,30.38,853,103.4,133.1,16.30000000000001,11592,6037
2003 Apr,103.356591059168,80.0061508714695,48.5616691906389,2,15.7,108.2,8.8,43.57394366197185,1700,103.4,100.13,2311.2,393.96,67.23,3.57777777777778,3346.5,56110.8144231168,30.28,927,118.4,131.9,66.59999999999997,10172,6205
2003 May,102.611919518191,76.2453035297332,48.950159184164,1.3,12.5,102.9,8.5,43.57394366197185,1700,125.3,101.63,2432.4,445.75,66.09,3.57777777777778,3941.1,61144.4070699326,30.5,1022,135.5,130.6,56.700000000000045,10452,5919
2003 Jun,102.210942534588,76.7741726871649,49.3417591776374,1.4,11.8,107.1,8.4,43.75000000000002,3700,142.3,107.22,2604.5,481.35,67.05,3.58,4441.3,60690.6917797857,30.59,1054,149.8,131.3,-14.5,11126,6077
2003 Jul,101.924530403443,79.6168444083601,49.6920891717985,4.1,11.9,109,8.3,44.71830985915496,2000,144.5,107.87,2625.4,470.83,68.47,3.61,4015.5,60709.8742727096,29.93,1044,210.9,134.8,44,11402,6715
2003 Aug,101.246688359733,78.9043401268202,49.4883491751942,3.9,11.8,108.7,8.2,45.51056338028171,1900,157.9,106.03,2683.2,495.41,68.9,3.61,4982.1,59010.5910525011,29.74,1060,369.6,138.9,3.099999999999966,11988,6369
2003 Sep,100.463828534604,81.1079616161188,49.6566091723899,9.9,13.2,109.8,8.2,46.156103286385,3700,165.3,106.99,2732.1,548.5,67.91,3.61,4417.1,58330.2636431869,29.31,1033,513.8,140.5,-0.6999999999999886,11555,6489
2003 Oct,100.043757408925,85.6547672890383,50.1531791641137,5.2,12.5,116.5,8.2,46.53755868544604,2500,158.4,111.91,2740.1,595.53,67.87,3.6,4859,61183.7900892001,28.5,969,292.1,145.3,63.89999999999998,12647,7080
2003 Nov,99.6332333542835,83.3409647252748,50.6346491560892,3.4,12,116.6,8.2,46.62558685446013,2700,162.2,113.14,2821.3,523.07,69.05,3.6,4077.5,64414.6754578118,28.52,885,179.5,146.2,18.100000000000023,11541,6785
2003 Dec,99.2131622286043,91.8395982690032,51.1916291468062,1.4,12.4,152,8.6,46.860328638497684,10800,262.4,137.24,3212.7,553.1,68.74,3.6,4672,73174.9467249168,28.51,804,101.2,168.7,-172,13967,8450
2004 Jan,114.688964381469,81.0051259466182,52.0874791318753,1.1,12.2,106.4,9.1,48.73826291079816,1800,91.9,108.01,3214.1,602.67,69.75,3.39,5138,80226.896237483,28.91,810,71.2,137.3,126.00000000000003,11254,5560
2004 Feb,114.564852457973,82.2979172203401,52.6031491232808,1.2,11.1,108.6,9.5,50.35211267605637,1700,109.4,110.49,3335.5,639.28,71.21,3.39,4853.1,82558.0610887455,28.98,810,76.3,136.5,-5.899999999999977,12079,6569
2004 Mar,114.287987397866,88.5562022499482,52.9976691167055,1.8,11.7,113.2,8.9,51.02699530516436,2500,122.3,114.8,3430.4,697.53,72.55,3.39,5388.1,79638.7372720005,29.04,843,102.3,148,35.39999999999998,13956,7789
2004 Apr,113.944292840492,85.4564413550015,53.5223491079609,5.2,12,119.7,8.2,52.11267605633807,1800,122.8,114.11,3483.5,721.69,73.17,3.48,6220,78904.4632427881,29.08,923,118,147.5,111.5,14712,7720
2004 May,113.132791802248,82.2097723607681,53.9184191013597,9.7,12.8,105.9,7.6,53.198356807511786,1800,148.3,114.57,3526.5,612.11,73.17,3.48,5519,81849.2442378309,29.25,1020,134.8,146.5,91.40000000000003,13615,7360
2004 Jun,112.80819138695,84.8394273379978,54.3389790943504,6.6,11.6,118.5,7.5,54.69483568075122,3600,172.7,122.02,3694,580.92,72.71,3.48,6177.5,84463.6804451417,29.22,1043,149.3,146.8,53.60000000000002,14862,7895
2004 Jul,112.502685113729,85.603349454288,54.8388990860184,3.8,11.2,120.9,7.4,55.31103286384981,2200,163.9,120.55,3634.9,568.42,72.67,3.81,6248.5,84857.5893234595,28.76,1024,239,152.1,127.90000000000003,15439,8355
2004 Aug,112.197178840508,87.4029736705486,55.0692190821797,4.1,11.6,118.2,7.3,56.338028169014144,2400,184.8,118.38,3657.9,553.63,72.81,3.81,7607,84948.4645349771,28.15,1021,405.8,156.6,74.29999999999995,16759,8320
2004 Sep,111.376130731226,86.785959653545,55.306019078233,3.1,11.5,118.5,7.7,58.098591549295826,4000,186.3,118.74,3727.5,611.04,72.78,3.81,7155.3,91328.282432353,27.82,998,498.9,158.4,96.10000000000002,16271,8287
2004 Oct,111.175642239424,89.5625227300613,55.936499067725,1.1,10.9,127,8,59.12558685446014,2800,175.5,117.31,3798.1,664.01,72.91,4.34,7409.2,103607.146967222,28.11,936,296.7,164.7,122.30000000000001,17208,8908
2004 Nov,110.717382829592,90.9067318385334,56.5573990573767,1.1,10.7,130,8.4,60.328638497652626,3400,190.4,118.37,3939.9,657.38,72.98,4.34,7429.6,113702.657579714,27.7,858,187.4,167,105.79999999999995,17807,9434
2004 Dec,110.287764632875,98.090537893647,57.2021590466307,1.1,10,169.2,8.3,60.35798122065732,13000,297.6,146.18,4363.3,585.21,73.42,4.34,6943.5,120808.798307217,27.86,788,101.4,193,-180.79999999999995,19247,11185
2005 Jan,117.419426698384,83.5726490079626,58.7008490216525,1.1,10.8,98.8,8.3,60.65140845070426,2100,95.2,118.26,4190.3,607.77,75.76,5.06,6047.6,121198.603005444,27.77,755,70.8,151.5,343.5,13675,6934
2005 Feb,117.934968534445,87.416990833388,59.4228690096189,1.1,10.6,118.1,8.3,61.414319248826345,1800,117.4,118.74,4311.4,665.44,76.83,5.06,6686.4,130426.592478544,28.19,740,75.6,151.4,115.80000000000001,15867,8346
2005 Mar,118.612810578154,93.1865122493994,60.2191389963477,1,10.5,130.4,8,62.940140845070474,2800,131.9,127.17,4474.6,688.99,77.36,5.06,8527,133651.322126033,28.64,777,102.3,164.4,196.09999999999997,19549,10020
2005 Apr,118.26911602078,89.6454248068399,60.8935889851069,1.3,10.3,135.7,7.6,64.524647887324,1900,133.9,124.5,4586.8,688.88,79.06,5.51,9030.9,140524.022142001,28.64,871,118.1,167.7,130.8,19515,9531
2005 May,117.161655780353,84.8045718489071,61.3807389769877,3,11,126,7.3,66.25586854460099,1900,155.8,124.74,4688.6,658.18,79.81,5.51,9650.9,143628.596128261,28.56,995,135.7,167.9,133.39999999999998,20047,9451
2005 Jun,116.817961222979,90.0624553257224,61.7735789704404,4,10.9,134.8,7.3,66.28521126760569,3900,192.3,132.85,4927.4,686.04,80.59,5.51,8243.2,147775.902013051,28.53,1041,149.8,167,151.09999999999997,19131,9898
2005 Jul,116.856149507132,89.7922679727466,62.0577389657044,3.4,10,135.6,7.2,66.63732394366203,1900,186.5,132.19,4985.8,752.18,80.61,6.13,9396.8,140895.55163988,28.5,1032,248.3,171.9,137.59999999999997,21191,10722
2005 Aug,116.579284447025,91.6779055589666,61.9708589671524,2.4,10.5,131.8,7.1,67.95774647887329,2600,202,132.98,5136,832.56,79.41,6.13,9669.6,146025.586960774,28.73,1048,414.3,177.5,147.80000000000007,21378,10644
2005 Sep,115.987366042659,92.2279729674929,62.1257789645704,1.4,10.5,140.9,7.2,69.86502347417846,4400,208.4,135.91,5292.8,929.32,79.49,6.13,9611.1,155830.304235335,28.74,1037,515.4,180.6,-30.200000000000045,21402,10719
2005 Oct,115.977818971621,94.718128273975,62.4674789588754,2.9,10.6,140.7,7.3,70.51056338028174,2700,195.5,133.46,5314,939.71,80.97,6.96,9229.4,161240.750309401,28.13,979,291.4,186.3,345.20000000000005,21831,11456
2005 Nov,115.700953911514,96.7072089946861,62.9297289511712,5.7,11.4,144.1,7.5,69.89436619718313,3600,223.5,135.86,5436.2,998.61,81.61,6.96,8268.6,164666.262617847,28.11,902,190.6,187.8,229.7,21792,12294
2005 Dec,115.395447638293,102.412934319864,63.4457589425707,4.8,11.1,201.9,7.7,68.4272300469484,14000,340.3,170.78,6045.6,1100.04,81.48,6.96,9439.5,175891.409917674,27.7,817,107,222,-230.60000000000002,24647,13825
2006 Jan,113.533768785851,87.7073089424119,64.9874889168752,3.1,10.2,109.8,7.7,68.77934272300475,1800,102.1,131.16,5842.9,1283.58,83.08,7.66,11381.9,181400.854948327,27.22,798,71.9,168.7,298.9,20524,8311
2006 Feb,113.877463343225,88.7073922826902,66.0662788988954,3.1,10.7,129.5,7.9,71.03873239436625,1500,124.1,132.47,5919.6,1393.66,85.42,7.66,10361,189049.891963837,26.94,812,76.5,167.5,149.5,21449,10080
2006 Mar,113.915651627377,98.9082423535295,66.6080188898663,3.3,10.2,143.3,7.8,72.50586854460099,3000,150.9,140.68,6169.4,1412.61,86.82,7.66,10850.7,198676.585643479,26.94,862,104.1,184,266.9000000000001,24439,12353
2006 Apr,113.829727988034,93.5077923160264,66.8411588859807,3.3,10.7,149.5,7.6,72.91666666666671,2200,151.9,139.28,6360.1,1571.14,86.78,8.14,11157.1,218520.764726823,26.82,962,120,187.8,135.29999999999995,23652,11359
2006 May,113.190074228477,94.2078506542212,67.1619888806335,2.4,10.9,149.8,7.5,74.23708920187798,2200,190.9,144.43,6693.1,1581.92,86.55,8.14,12556.9,239270.578819891,26.72,1090,137.4,189.9,344.0999999999999,26770,12921
2006 Jun,112.941850381485,94.6078839903325,67.3500388774994,2.8,10.4,159.5,7.2,74.82394366197188,5000,227.8,155.99,7092.3,1391.33,87.81,8.14,9212.3,243174.228130363,26.79,1140,151.3,192.7,228.80000000000007,25137,14477
2006 Jul,112.846379671103,95.8079839986666,67.8012888699785,2,10.1,154.9,6.9,76.14436619718316,2200,209.8,152.55,7230.7,1514.07,88.28,8.4,10655.1,257859.0137316,26.77,1134,246.8,198.7,230.79999999999995,25482,13479
2006 Aug,112.531326326844,99.3082756896408,67.9301088678315,2.3,10.3,157.9,6.5,77.78755868544607,2900,237.1,152.1,7449.3,1628.79,88.17,8.4,12189,252184.118158408,26.3,1152,404,204.9,323.19999999999993,27853,14240
2006 Sep,112.139896414279,98.7082256854738,67.9912488668125,3.5,10.5,155.3,6.6,78.84389671361507,5200,249.9,155.75,7757.5,1560.64,88.59,8.4,9615.8,258705.024262556,26.37,1140,536.5,206.5,153.5,25392,14342
2006 Oct,112.493138042691,103.008584048671,68.1816288636395,4.1,10,158.6,6.7,76.67253521126767,3400,243.4,154.5,7769.6,1596.05,88.74,8.65,6645.9,264956.682513394,26.55,1094,316.5,215,293.1,24049,15821
2006 Nov,112.617249966187,103.908659054921,68.6111688564805,6.2,10.6,163.7,6.7,74.79460093896718,4700,264.1,157.28,8014.1,1699.03,88.48,8.65,6584,280969.254539012,26.15,1022,216.5,215.2,202.60000000000002,24382,16180
2006 Dec,112.29264955089,108.209017418118,69.1531988474467,5,10.5,231.6,6.9,75.52816901408454,16100,410.1,196.92,8995.8,1849.23,88.25,8.65,6766.5,295567.568552172,26.02,936,113.3,256.3,-367.9000000000001,28354,19625
2007 Jan,115.004017725728,96.2080173347779,70.3149688280839,3.3,10,120.9,7.1,76.93661971830987,3000,130,156.75,8700.8,1829.89,90.11,8.39,8466.5,295560.719993443,25.74,915,73.8,193.5,371.09999999999997,21287,11655
2007 Feb,115.471824206598,95.1079256604717,71.0954688150755,3.8,9.9,148.3,7.2,76.84859154929579,2500,149.9,159.41,8902,1898.08,90.89,8.39,7464.7,305869.403256192,25.9,938,78.5,192.5,137.20000000000005,22945,14073
2007 Mar,115.586389059056,105.608800733394,71.5149288080845,4.8,10,157.1,6.8,76.81924882629113,4000,172.7,168.02,9412.6,1841.69,88.44,8.39,7372.6,330334.414452482,25.82,1000,108.6,210.8,267.30000000000007,25945,16884
2007 Apr,115.624577343209,100.008334027836,71.9225688012905,3.3,9.8,164.6,6.4,80.13497652582164,2900,181,167.51,10006,1959.48,91.28,7.83,8630.6,360410.418703227,25.55,1141,125,216.1,148,26994,16694
2007 May,114.803529233927,100.708392366031,72.3756787937387,3.3,9.5,164.6,5.9,84.41901408450708,2800,230.7,170.53,10699.3,1843.92,91.46,7.83,9482.7,394749.161656581,25.62,1339,143.1,220.2,317.5999999999999,28681,17453
2007 Jun,114.555305386934,101.508459038253,73.0632487822792,3.4,9.5,173.2,5.8,86.5316901408451,6000,279,181.27,10857.7,1859.7,91.84,7.83,5798.9,397398.214520627,24.94,1385,157.9,224,223.19999999999993,26194,18541
2007 Jul,114.870358731194,104.608717393116,73.698898771685,3.5,9.2,173.7,5.7,87.14788732394369,3100,258,177.65,10923.5,2008.03,92.37,7.79,7817.8,407494.974469812,24.67,1389,257.9,230.7,355.5,29083,19332
2007 Aug,114.78443509185,105.708809067422,73.7652287705795,5.2,9.9,174.6,5.6,88.93779342723008,3700,272.5,173.92,11156.8,1902.31,92.4,7.79,8323.5,407110.764678836,24.4,1418,427.4,240.4,300.0999999999999,30318,19995
2007 Sep,114.373911037209,103.408617384782,74.3479687608672,6.2,10.4,175.8,5.6,88.38028169014086,6000,282.6,177.92,11494,1964.47,92.39,7.79,7117.7,415263.653324201,24.53,1380,538.1,241.1,62.60000000000002,27680,18693
2007 Oct,114.717605594583,108.809067422285,75.5672787405453,5.7,10.6,176,5.6,88.32159624413148,4100,308,179.16,11421.7,2144.76,92.89,8.56,9989.5,436007.047367097,24.43,1321,325.3,249,783.2,34437,22225
2007 Nov,114.622134884202,110.209184098675,76.496758725054,6.3,10.8,188.3,5.7,91.07981220657278,5900,328.3,185.43,12163.3,2207.28,93.51,8.56,10326,452162.374767039,24,1221,222.8,250.5,-442.79999999999995,35197,22610
2007 Dec,114.478928818629,113.609467455621,77.3611687106472,4.4,10.8,258.7,6.1,94.45422535211269,16400,541.4,232.72,13272.1,2282.9,94.06,8.56,10348.2,466750.421066355,23.49,1126,117.8,301.4,-518.1000000000001,37769,24928
2008 Jan,115.242694501682,102.608550712559,79.148218680863,2.8,10.4,130.9,6.6,95.98004694835683,3200,157,179.19,12914.8,2112,95.22,10.27,16756.2,475071.97782599,23.66,1122,77,226,561,33870,15558
2008 Feb,115.901442403316,102.808567380615,80.0979886650335,4.3,11,164.2,7.1,96.5962441314554,2600,188.9,184.39,13080.4,2007.43,95.5,10.27,12020.3,481010.798535996,23.74,1164,83.2,228.5,133.10000000000014,35095,20977
2008 Mar,115.949177758506,109.409117426452,81.0591686490139,4.3,11.3,164.5,6.5,97.3004694835681,4400,212.1,192.13,13382.9,2023.73,96.56,10.27,13845.2,498889.530783272,23.4,1236,115.2,245.4,304.19999999999993,39407,23238
2008 Apr,115.710500982552,105.708809067422,82.2102086298299,4.2,11.2,181.3,6,101.70187793427232,3000,225.9,194.06,13347.7,2119.09,97.98,11.9,12792.9,519757.5989754,23.42,1375,133.2,248.1,794.5999999999999,40525,25211
2008 May,114.88945287327,105.208767397283,83.3200486113325,3.7,11,171.7,5.4,105.28169014084509,2900,274.5,192.89,13724.5,2363.94,98.47,11.9,15763.4,533109.273908463,24.57,1553,152.9,253.6,260.5000000000001,42478,24286
2008 Jun,114.431193463438,104.40870072506,84.1282485978625,3.7,11.3,180.2,5.6,110.47535211267608,5600,310.7,203.31,14244.7,2360.42,99.05,11.9,15181.9,555181.62466756,25.37,1527,169.4,256.6,-25.200000000000045,43024,25311
2008 Jul,114.488475889667,106.608884073673,84.5572985907117,4.4,11.4,184.8,5.7,116.40258215962444,3900,285.2,203.31,14210,2123.88,99.44,14.36,14991.4,582679.001804036,26.98,1530,286.5,266.4,1045.7,46546,28686
2008 Aug,114.144781332293,106.708892407701,84.8617085856382,5.8,11.8,189.6,5.8,116.96009389671364,3800,300.6,197.61,14530.1,1745.25,99.06,14.36,15109,569122.687469191,27.62,1542,499.2,275.4,231.79999999999995,44952,27130
2008 Sep,113.676974851423,106.408867405617,85.5405985743234,7.1,12.7,175.5,6.2,111.09154929577466,5800,325.6,201.76,14374.6,1354.56,98.31,14.36,13021,542839.281223041,29.36,1553,598.4,276.6,131.70000000000005,42974,27230
2008 Oct,113.447845146507,107.108925743812,86.3190185613497,7.6,14.1,174.8,6.6,103.75586854460094,4700,328.8,198.94,13519.7,790.28,100.28,16.02,9000.9,472005.393775952,35.37,1427,382.2,281,397.20000000000005,38383,26711
2008 Nov,112.216272982584,96.4080340028336,87.0354685494089,9.5,15,179.5,7,95.07042253521125,5800,326.9,196.75,13226.2,677.39,101.83,16.02,6169.4,442391.526780347,35.72,1183,257.3,271.4,-454.5999999999999,29353,21076
2008 Dec,110.488253124676,99.0082506875573,87.6360185393997,8.3,15.5,230.9,7.8,87.85211267605631,18400,505.3,240.63,13493.2,647.09,97.73,16.02,4108.2,411749.595100425,33.86,895,123.1,316.7,-1367.8999999999999,29692,23258
2009 Jan,107.519114031807,83.9069922493541,89.7129885047835,16.3,17.1,125.6,8.7,84.85915492957746,3100,129.4,185.76,11990.7,555.8,88.75,16.02,7560,371437.614918001,32.94,836,78.8,236.3,582.9000000000001,18868,10280
2009 Feb,106.955836840556,84.7070589215768,91.1932484801125,9.3,16.6,168.4,9.4,89.1725352112676,2800,157,182.98,12021.3,552.88,84.09,14.47,2888,368157.117295925,30.92,875,84.7,226.1,-265.5,17419,13210
2009 Mar,106.058412162968,93.707808984082,92.3878884602019,8.7,16.1,174,9.2,91.72535211267606,4500,174.8,191.03,12111.7,653.04,87.87,11.47,5814,368064.95816564,31.05,920,117.9,239.3,-91,21467,14230
2009 Apr,104.90321656735,89.8074839569965,93.0253584495774,8.6,16,186.4,8.8,93.98474178403757,3300,178.7,188.35,12339.1,789.69,89.94,8.6,3275.4,368347.953431772,31.22,1078,135.9,237.3,-210.79999999999995,18836,14146
2009 May,103.853038753152,88.7073922826902,93.55559844074,7.1,15.9,181.3,8.5,94.57159624413148,3000,206.4,187.22,12861.1,969.9,92.05,8.6,6732.5,387280.338524615,31.82,1222,155.5,240.7,-178.30000000000007,21159,13115
2009 Jun,103.060631856985,90.8075672972748,94.1169384313844,6.8,15.6,186.4,8.3,96.5962441314554,4900,241.4,199.02,13161,984.39,93.76,8.6,7437.1,395890.314142226,30.02,1178,167.6,241.6,-414.29999999999995,23573,14669
2009 Jul,102.230036676664,93.8078173181098,94.709878421502,6.5,14.9,181.4,8.1,98.3274647887324,4100,229.6,194.24,13121,943.74,92.49,6.79,9431.7,384875.421634386,29.04,1148,287.4,246.9,1.599999999999909,26166,15213
2009 Aug,101.762230195794,92.8077339778315,94.709878421502,6.6,15.2,174.3,7.9,99.73591549295774,4000,245.3,189.19,13305,1057.35,90.89,6.18,10505.2,391875.533691575,29.12,1121,441.3,250.9,9.700000000000045,26805,14818
2009 Sep,101.599929988145,95.0079173264439,94.6814684219755,7.2,14.7,180.4,7.6,100.90962441314554,5300,271.2,194.3,13649.5,1186.42,92.41,6.18,10120.9,394516.296693661,30.2,1104,642.6,250.4,-383.20000000000005,28613,16811
2009 Oct,101.514006348802,99.1082590215851,94.6814684219755,5.8,14.1,191.6,7.7,100.02934272300469,4740,283.5,193.72,13874.7,1378.36,95.13,6.45,9912.1,414024.038812328,30.39,1005,407.9,258.6,28.5,30162,18409
2009 Nov,101.189405933504,99.9083256938078,94.9560384173994,5.3,13.8,186.2,8.2,99.50117370892019,5800,288,197.4,14224.1,1412.71,96.35,6.45,10113.8,424690.157401522,30,893,262.7,256.1,-203,30400,18442
2009 Dec,100.731146523672,106.508875739645,95.3453584109107,5.1,13.7,261.1,8.2,100,14300,480.6,245.37,15697.7,1411.16,94.19,6.45,11049,416648.888637787,29.49,724,131.5,308,-1303.1999999999998,33687,20580
2010 Jan,99.9960220537338,91.0075839653304,96.9090283848495,4,13.9,146.7,9,98.94366197183098,3100,118.1,188.2,15331,1519.89,96.66,7.59,14720.8,413508.877512135,29.14,802,78.8,239,396,26977,11142
2010 Feb,100.129681048268,90.9075756313026,97.7424383709594,3.8,12.7,180.3,8.5,100.90962441314554,2900,145.3,188.38,15565.9,1415.01,98.35,7.59,13331.1,413332.645171943,30.48,888,84.9,231.4,-152.29999999999995,30094,15239
2010 Mar,100.349263682146,102.408534044504,98.3582183606964,3.6,11.8,185.4,8.5,102.7582159624413,3600,176,202.51,15996.5,1516.44,100.94,7.59,12712.4,423317.926720857,31.24,987,119,250.4,-1.2999999999999545,32992,18436
2010 Apr,100.272887113841,96.5080423368614,98.6434583559424,3.3,11.4,198.7,8.1,106.01525821596242,3800,185,199.88,16435,1617.56,102.68,8.35,11898.6,435560.292831432,30.21,1174,136.3,251.9,66.59999999999991,32693,18904
2010 May,99.9578337695811,95.9079923326944,99.1366683477222,2.8,11.3,187,7.2,108.89084507042253,3100,221.5,198.28,16813.9,1400.68,102.57,7.87,10147.7,428988.84495651,30.85,1323,155.8,257.9,-20.09999999999991,31106,19053
2010 Jun,99.8050806329705,97.4081173431119,99.5233083412782,2.6,11.4,195,6.7,105.51643192488262,5100,271.5,212.36,17190.3,1382.25,101.96,8.06,10294.3,432990.703894774,30.54,1279,160.9,261,-16.59999999999991,31554,19327
2010 Jul,99.776439419856,98.1081756813068,99.8815883353069,2.6,10.5,196.8,6.8,106.1619718309859,3100,232.7,207.05,17330.1,1402.14,101.38,8.48,7833.9,448037.306768742,30.81,1270,258.1,268.8,21.200000000000045,30726,20811
2010 Aug,99.7000628515507,99.208267355613,100.430898326152,2.6,10,185.6,6.7,109.62441314553989,3800,265.7,200.4,17663.8,1458.5,101.66,8.57,5294.5,447068.424023639,31.36,1256,336.3,273.7,-46.30000000000018,31260,23605
2010 Sep,99.7668923488178,100.908409034086,101.27459831209,2.6,9.7,187.8,6.5,108.24530516431922,4500,291.8,201.2,17909.2,1477.95,99.59,8.49,8140.1,458314.558239621,30.5,1236,481.3,269.3,-137.60000000000014,33670,23209
2010 Oct,100.091492764115,106.208850737561,101.780898303652,2.7,8.9,196.6,6.7,110.65140845070422,4600,305.8,199.8,18099.7,1581,97.64,8.64,7690.7,463760.064159349,29.81,1167,392.8,277.9,-73.39999999999986,34589,24453
2010 Nov,100.186963474497,107.308942411868,102.60539828991,3.2,9.1,195.8,6.6,115.52230046948355,5900,318.9,203.2,18529.4,1605.15,96.86,8.71,7507.6,448775.610954255,28.9,1081,244.3,276.8,-136.29999999999995,34506,24544
2010 Dec,99.9673808406193,114.10950912576,103.713498271442,3,9.1,274.8,7,116.66666666666666,15000,546.6,262.1,20173.5,1733.3,99.71,8.73,12855.4,443585.838959012,28.45,982,132.3,329.7,-1485,42507,26956
2011 Jan,100.597487529138,96.6080506708892,106.171498230475,2.7,8.6,146.4,7.6,119.19014084507045,2600,118.1,190.8,19303.4,1877.68,103.74,9.19,11739.2,450757.642890731,27.41,1039,80.2,248.2,468.9000000000001,29590,16228
2011 Feb,101.494912206726,95.8079839986666,106.999598216673,2.8,8.7,179.5,7.4,123.18075117370893,2700,153.3,189.1,19531.3,1899.62,105.25,9.14,15786,458041.879792168,27.97,1113,86.5,245,-12.900000000000091,39623,21670
2011 Mar,101.714494840603,106.208850737561,107.662998205617,3.1,8.7,178.6,7,124.85328638497653,4000,181.5,206,19786.8,1988.45,107.22,9.12,12987.6,465447.784560369,27.87,1232,121,263.1,361.0999999999999,42461,26794
2011 Apr,101.724041911642,101.808484040337,108.1259981979,3.3,8.4,195.8,7.1,127.31807511737088,3100,195.3,203.7,20046.6,2051.23,106.6,10.03,16192.1,483217.161532788,27.69,1444,138.4,265.5,355.20000000000005,45803,26919
2011 May,100.511563889795,101.808484040337,108.64499818925,3.8,8,177.6,6.2,128.63849765258217,2900,241.7,204.7,20188.7,1868.02,107.84,10.02,13316,480136.417126654,28.93,1579,157.8,273,270.29999999999995,44039,27930
2011 Jun,100.229734352748,103.708642386866,108.894898185085,3.7,8.6,196.6,6,125.73356807511739,5400,292.5,216.4,20742.6,1885.72,108.65,10,13430.2,484004.475343899,32.1,1563,164.1,276.2,303.79999999999995,43656,27478
2011 Jul,100.282434184879,103.608634052838,108.883998185267,3.9,7.9,195,6.4,123.43554392772303,3700,257.7,211.6,20847.5,1951.14,108.82,11.2,11894.5,490248.467013291,30.13,1521,296.3,285.3,336.79999999999995,41435,26855
2011 Aug,100.101039835154,105.108759063255,108.622698189622,4,7.9,186,6,127.4606160123225,3900,298.1,207.6,21083.8,1675.51,104.86,11.11,11471.2,496362.082486188,31.39,1471,423.4,296.2,274.29999999999995,43842,29428
2011 Sep,99.9100984143903,105.508792399367,108.579198190347,4.5,8,191.1,6,128.09062729512942,5500,324.4,211.3,21497.4,1531.45,100.61,11.11,13511.9,472488.19201534,32.17,1442,670.5,294.7,67.90000000000009,43037,26841
2011 Oct,100.416093179413,109.809150762564,109.10039818166,4.9,8.6,193,6.2,129.24564798027555,5000,356.2,211.5,21380.9,1417.63,99.33,12.11,13674.8,476956.55992703,30.26,1361,551.4,303.3,275.3000000000002,45247,28702
2011 Nov,100.41312404032,111.509292441037,109.558598174023,5,8.8,197.2,6.2,130.4706699190666,6500,360.1,216.8,21961.9,1496.66,102.84,12.02,13696.5,462683.343389604,29.04,1263,343.2,300.2,-59.90000000000009,46427,29755
2011 Dec,100.158322261383,118.809900825069,110.040698165988,5.4,9.3,284.4,6,130.69248826291079,17000,630.9,291.4,24543.4,1420.82,102.52,12.11,17297.5,453948.219572556,29.34,1161,138.6,360.6,-1780,50248,29955
2012 Jan,99.604592141169,100.108342361863,110.590898156818,4.8,8.8,147,6.3,130.2816901408451,3100,137.5,210.4,23677.9,1486.65,103.84,12.33,18441.9,456544.793398295,29.4,1260,82.2,267.2,413.4000000000001,39497,19141
2012 Feb,99.8623630591995,102.308525710476,111.000098149998,4.4,8.9,184.5,6.2,131.66079812206573,2800,178,212.1,23851.3,1654.32,107.03,12.22,17711.4,463808.657798264,32.94,1373,89.8,265.8,-187.5,44877,24696
2012 Mar,99.9960220537338,109.609134094508,111.643898139268,5.1,9.2,184.5,6.3,134.47769953051647,3900,200.9,224.2,24041.3,1700.59,109.67,12.51,15412.5,465660.727911017,32.85,1499,126.9,284.2,294,46658,28405
2012 Apr,99.9291925564666,104.208684057005,111.9899981335,5.3,9,198.6,5.6,135.3579812206573,2900,212,226.2,24247.2,1608.15,109.29,12.57,15454.9,476453.861627381,32.21,1708,145.3,284.8,116.5,44903,26771
2012 May,99.2704446548333,105.208767397283,112.572298123795,5.8,8.9,187.2,5.2,132.1596244131456,3100,275.6,230.5,24450.1,1384.26,106.96,12.57,14501.4,465126.251354637,32.51,1825,165.2,294.1,414.5000000000002,45473,28156
2012 Jun,98.9172030264212,105.208767397283,113.574198107097,5.8,9.3,211.6,5.2,131.1326291079813,5200,319.9,238.1,24764,1296.74,102.22,12.56,11133.1,467989.598926827,30.92,1754,169.5,298,89.40000000000009,40810,26979
