h,model_fun,mae
1,arima_fun,0.19109982743656279
1,ets_fun,0.19530121179606003
1,arima101_101_fun,0.2004935062622716
1,tbats_fun,0.21531060944191202
2,ets_fun,0.2357564053754315
2,arima_fun,0.23942070505929852
2,tbats_fun,0.27495151904352455
2,arima101_101_fun,0.28265946493557614
3,ets_fun,0.26302593383954725
3,arima_fun,0.26394462801385526
3,tbats_fun,0.2880732303143145
3,arima101_101_fun,0.3040316802410893
4,ets_fun,0.2835927023256686
4,arima_fun,0.2983648683460345
4,arima101_101_fun,0.3155822203697001
4,tbats_fun,0.3369603517934634
5,ets_fun,0.28724333271109576
5,arima_fun,0.3129030055548417
5,arima101_101_fun,0.31467031079592545
5,tbats_fun,0.36242375322559656
6,ets_fun,0.31142095696040584
6,arima101_101_fun,0.3183190246241476
6,arima_fun,0.33446199630012313
6,tbats_fun,0.38073340448540843
