h,model_fun,mae
1,tbats_fun,1.3386887863828842
1,ets_fun,1.4500116690862797
1,arima101_010_fun,1.7042821314198282
1,arima_fun,1.9293831003115212
2,ets_fun,2.333351678295441
2,tbats_fun,2.561044163854459
2,arima101_010_fun,2.7475892683291008
2,arima_fun,2.963985635210664
3,ets_fun,2.5166416782598446
3,arima101_010_fun,3.168847889683512
3,arima_fun,3.2291747565002233
3,tbats_fun,3.400215013909571
4,ets_fun,2.2666099367555836
4,arima101_010_fun,2.7441055293897563
4,tbats_fun,3.246681452533695
4,arima_fun,4.345021325805874
