h,model_fun,mae
1,ets_fun,242.43230859394316
1,tbats_fun,291.3918285804073
1,arima_fun,1073.8540075399483
2,tbats_fun,266.7125202454743
2,ets_fun,296.61512503677807
2,arima_fun,1077.2172475470252
3,ets_fun,298.94913277332233
3,tbats_fun,301.196484076124
3,arima_fun,1069.3940606733472
