date,h,model_fun,point_forecast
2021-06-01,6,arima_fun,100.46481690052988
2021-06-01,6,arima101_101_fun,100.41482507883168
2021-06-01,6,ets_fun,100.4122614014472
2021-06-01,6,tbats_fun,100.37073201013764
2021-01-01,1,arima_fun,100.79815719844493
2021-01-01,1,arima101_101_fun,100.93094217481699
2021-01-01,1,ets_fun,101.09370515974712
2021-01-01,1,tbats_fun,100.90678522738455
2021-02-01,2,arima_fun,100.57146604541556
2021-02-01,2,arima101_101_fun,100.61109322956753
2021-02-01,2,ets_fun,100.71775697918041
2021-02-01,2,tbats_fun,100.52640215094196
2021-03-01,3,arima_fun,100.59953216016773
2021-03-01,3,arima101_101_fun,100.54282580526775
2021-03-01,3,ets_fun,100.59886814377944
2021-03-01,3,tbats_fun,100.38444006352664
2021-04-01,4,arima_fun,100.68202038301331
2021-04-01,4,arima101_101_fun,100.5284914779169
2021-04-01,4,ets_fun,100.54126438278888
2021-04-01,4,tbats_fun,100.41543818854993
2021-05-01,5,arima_fun,100.56825022384321
2021-05-01,5,arima101_101_fun,100.45736500319842
2021-05-01,5,ets_fun,100.47708767748307
2021-05-01,5,tbats_fun,100.28630257819012
