date,h,model_fun,point_forecast
2020-09-01,6,arima_fun,100.19742307907654
2020-09-01,6,arima101_010_fun,100.57905855135097
2020-09-01,6,ets_fun,100.57242199569176
2020-09-01,6,tbats_fun,100.3936112507677
2020-04-01,1,arima_fun,98.53690576661653
2020-04-01,1,arima101_010_fun,99.22159868705198
2020-04-01,1,ets_fun,95.52201231414703
2020-04-01,1,tbats_fun,98.10578296095015
2020-05-01,2,arima_fun,97.8156304482244
2020-05-01,2,arima101_010_fun,96.41154583213356
2020-05-01,2,ets_fun,99.92277554383398
2020-05-01,2,tbats_fun,97.84080189098981
2020-06-01,3,arima_fun,102.75788878689093
2020-06-01,3,arima101_010_fun,102.93059535938552
2020-06-01,3,ets_fun,101.56360066744412
2020-06-01,3,tbats_fun,102.94429932288071
2020-07-01,4,arima_fun,100.16178182824704
2020-07-01,4,arima101_010_fun,101.40960766662144
2020-07-01,4,ets_fun,100.85609035396003
2020-07-01,4,tbats_fun,99.94209386493966
2020-08-01,5,arima_fun,102.5888990645105
2020-08-01,5,arima101_010_fun,102.42916256248704
2020-08-01,5,ets_fun,102.06546403454458
2020-08-01,5,tbats_fun,102.53559686152823
