h,model_fun,mae
1,tbats_fun,1.1350001470831141
1,ets_fun,1.550068351716997
1,arima101_010_fun,1.7310341687786892
1,arima_fun,1.7410931773610798
2,ets_fun,2.233304978378712
2,tbats_fun,2.3487377939132585
2,arima_fun,2.9959580808698214
2,arima101_010_fun,3.1049197114958673
3,ets_fun,1.9499532933135935
3,tbats_fun,1.9727532476812801
3,arima101_010_fun,2.7402968753136556
3,arima_fun,2.978577628829541
4,ets_fun,1.7166899805609173
4,tbats_fun,2.4166013667083015
4,arima101_010_fun,2.518381058483932
4,arima_fun,2.688403168964951
