h,model_fun,mae
1,ets_fun,0.19690628486349007
1,arima101_101_fun,0.20119155801567482
1,arima_fun,0.20202363502531995
1,tbats_fun,0.23157990781034166
2,ets_fun,0.21580917457841842
2,arima_fun,0.23316762696222704
2,arima101_101_fun,0.2553077121277067
2,tbats_fun,0.285552879849412
3,ets_fun,0.2514271845778882
3,arima_fun,0.27941812634385993
3,arima101_101_fun,0.27947992108036207
3,tbats_fun,0.31350562664732234
4,ets_fun,0.26217528701361914
4,arima_fun,0.2754525444375883
4,arima101_101_fun,0.28509375425722777
4,tbats_fun,0.3468663301861967
5,ets_fun,0.28472025299343706
5,arima_fun,0.2918301544371407
5,arima101_101_fun,0.2933842602053147
5,tbats_fun,0.3179342458921855
6,arima101_101_fun,0.29395293947941936
6,tbats_fun,0.3044155352819481
6,arima_fun,0.3119154932569504
6,ets_fun,0.3176303804541263
