h,model_fun,mae
1,arima101_101_fun,0.010415859918723566
1,ets_fun,0.010850345756993132
1,tbats_fun,0.010961931855663125
1,arima_fun,0.012239037425786511
2,tbats_fun,0.011210579621947499
2,ets_fun,0.011379164207782613
2,arima101_101_fun,0.012326922278022652
2,arima_fun,0.013942004603312574
3,tbats_fun,0.007851158635782686
3,ets_fun,0.00969961888258055
3,arima101_101_fun,0.011212771558391288
3,arima_fun,0.01198382246269081
4,ets_fun,0.0073638531735899185
4,tbats_fun,0.008549722278243313
4,arima101_101_fun,0.009797099282689178
4,arima_fun,0.010405700491512338
