h,model_fun,mae
1,tbats_fun,0.026705786960249535
1,arima101_101_fun,0.0272711311333135
1,arima_fun,0.027684868193441434
1,ets_fun,0.03002033511796069
2,arima101_101_fun,0.030837206332370363
2,arima_fun,0.03151111897203406
2,tbats_fun,0.03640137454281586
2,ets_fun,0.04090302865583898
3,arima101_101_fun,0.028829390168307233
3,arima_fun,0.03183559395378458
3,tbats_fun,0.03394340246230828
3,ets_fun,0.041493066039914005
4,arima101_101_fun,0.0265302873011307
4,arima_fun,0.030637850888507786
4,ets_fun,0.03188624308983425
4,tbats_fun,0.03498958428917327
